source_version,source_code,source_name,target_version,target_code,target_name,mapping_type,official_source,analysis_use
7,B,礦業及土石採取業,8,B,礦業及土石採取業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90002/80f2bef2-0296-4ec3-896f-6490f2fa3f41.pdf,major
7,C,製造業,8,C,製造業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90002/80f2bef2-0296-4ec3-896f-6490f2fa3f41.pdf,major
8,B,礦業及土石採取業,9,B,礦業及土石採取業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/attachment/11195/90008/18119504471.xls,major
8,C,製造業,9,C,製造業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/attachment/11195/90008/18119504471.xls,major
9,B,礦業及土石採取業,10,B,礦業及土石採取業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/attachment/11195/90010/6112105911geyjeag4.odt,major
9,C,製造業,10,C,製造業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/attachment/11195/90010/6112105911geyjeag4.odt,major
10,B,礦業及土石採取業,11,B,礦業及土石採取業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,C,製造業,11,C,製造業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,D,電力及燃氣供應業,11,D,電力及燃氣供應業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,E,用水供應及污染整治業,11,E,用水供應及污染整治業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,F,營建工程業,11,F,營建工程業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,G,批發及零售業,11,G,批發及零售業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,H,運輸及倉儲業,11,H,運輸及倉儲業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,I,住宿及餐飲業,11,I,住宿及餐飲業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,J,出版影音及資通訊業,11,J,出版影音及資通訊業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,K,金融及保險業,11,K,金融及保險業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,L,不動產業,11,L,不動產業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,M,專業科學及技術服務業,11,M,專業科學及技術服務業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,N,支援服務業,11,N,支援服務業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,P,教育業,11,P,教育業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,Q,醫療保健及社會工作服務業,11,Q,醫療保健及社會工作服務業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,R,藝術娛樂及休閒服務業,11,R,藝術娛樂及休閒服務業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major
10,S,其他服務業,11,S,其他服務業,one_to_one,https://ws.dgbas.gov.tw/001/Upload/463/relfile/11195/90015/%E6%9E%B6%E6%A7%8B_10%E5%B0%8D11_1141205%E6%9B%B4%E6%96%B0.pdf,major

