year,cpi,cpi_2024_100
2000,81.9225000000,75.9854996290
2001,81.9200000000,75.9831808063
2002,81.7591666667,75.8340032154
2003,81.5291666667,75.6206715310
2004,82.8400000000,76.8365075439
2005,84.7525000000,78.6104068761
2006,85.2608333333,79.0819008162
2007,86.7925000000,80.5025661637
2008,89.8566666667,83.3446697997
2009,89.0708333333,82.6157865446
2010,89.9308333333,83.4134615385
2011,91.2091666667,84.5991528568
2012,92.9741666667,86.2362416522
2013,93.7108333333,86.9195213950
2014,94.8300000000,87.9575810042
2015,94.5400000000,87.6885975761
2016,95.8566666667,88.9098441751
2017,96.4525000000,89.4624969082
2018,97.7550000000,90.6706035122
2019,98.3016666667,91.1776527331
2020,98.0675000000,90.9604563443
2021,100.0000000000,92.7529062577
2022,102.9466666667,95.4860252288
2023,105.5125000000,97.8659102152
2024,107.8133333333,100.0000000000
