year,industry_code,industry,employees,total_monthly,regular_monthly,total_hours,regular_hours,source_release,tsic_version,employment_share,regular_hourly,total_hourly,real_regular_monthly,real_total_monthly,real_regular_hourly,real_total_hourly,cpi_2024_100
2000,B,mining,9604.0000000000,43066.0000000000,36175.0000000000,185.4000000000,179.5000000000,2019,10,0.0016185716,201.5320334262,232.2869471413,47607.7675038400,56676.6030496302,265.2243314977,305.6990455751,75.9854996290
2000,C,manufacturing,2458527.0000000000,38922.0000000000,30893.0000000000,198.7000000000,181.9000000000,2019,10,0.4143379757,169.8350742166,195.8832410669,40656.4412300243,51222.9309408282,223.5098473338,257.7902915995,75.9854996290
2000,D,electricity_gas,29677.0000000000,91805.0000000000,60799.0000000000,182.3000000000,174.5000000000,2019,10,0.0050014940,348.4183381089,503.5929786067,80013.9504206211,120819.1042346934,458.5326671669,662.7487890000,75.9854996290
2000,E,water_waste,23217.0000000000,44341.0000000000,36862.0000000000,188.0000000000,182.4000000000,2019,10,0.0039127839,202.0942982456,235.8563829787,48511.8873732288,58354.5547722949,265.9642948094,310.3965679377,75.9854996290
2000,F,construction,437265.0000000000,38897.0000000000,35303.0000000000,187.5000000000,179.5000000000,2019,10,0.0736927009,196.6740947075,207.4506666667,46460.1801295940,51190.0299266583,258.8310870729,273.0134929422,75.9854996290
2000,G,wholesale_retail,1372044.0000000000,39541.0000000000,33309.0000000000,182.9000000000,178.4000000000,2019,10,0.2312319261,186.7096412556,216.1891744122,43835.9952394031,52037.5600516749,245.7174621043,284.5137236286,75.9854996290
2000,H,transportation_storage,276923.0000000000,45951.0000000000,37463.0000000000,189.6000000000,182.9000000000,2019,10,0.0466701058,204.8277747403,242.3575949367,49302.8277538731,60473.3800848363,269.5616607648,318.9524266078,75.9854996290
2000,I,accommodation_food,160881.0000000000,26060.0000000000,22447.0000000000,188.2000000000,186.6000000000,2019,10,0.0271134333,120.2947481243,138.4697130712,29541.1626028665,34296.0171706999,158.3127685041,182.2317596743,75.9854996290
2000,J,information_communication,153910.0000000000,62759.0000000000,47787.0000000000,176.3000000000,173.1000000000,2019,10,0.0259386038,276.0658578856,355.9784458310,62889.6305654735,82593.3899315410,363.3138680848,468.4820756185,75.9854996290
2000,K,finance_insurance,363656.0000000000,60872.0000000000,43754.0000000000,173.9000000000,169.5000000000,2019,10,0.0612873037,258.1356932153,350.0402530190,57582.0389595858,80110.0213819972,339.7170440094,460.6671729845,75.9854996290
2000,L,real_estate,74007.0000000000,43716.0000000000,36376.0000000000,178.3000000000,174.7000000000,2019,10,0.0124724726,208.2198053807,245.1822770611,47872.2916577660,57532.0294180475,274.0257106913,322.6698228718,75.9854996290
2000,M,professional_scientific,163635.0000000000,48628.0000000000,40602.0000000000,182.8000000000,176.2000000000,2019,10,0.0275775676,230.4313280363,266.0175054705,53433.8790930453,63996.4206821488,303.2569755564,350.0898286770,75.9854996290
2000,N,support_services,115824.0000000000,35277.0000000000,31357.0000000000,192.1000000000,187.4000000000,2019,10,0.0195199327,167.3265741729,183.6387298282,41267.0840530176,46425.9630748573,220.2085595145,241.6760180888,75.9854996290
2000,Q,health_social,180989.0000000000,53397.0000000000,44016.0000000000,182.5000000000,178.7000000000,2019,10,0.0305022544,246.3122551763,292.5863013699,57926.8415880863,70272.6181451982,324.1569199109,385.0554418915,75.9854996290
2000,R,arts_recreation,32800.0000000000,27592.0000000000,25312.0000000000,199.1000000000,195.9000000000,2019,10,0.0055278163,129.2087799898,138.5836263184,33311.6188267367,36312.1913190312,170.0439960528,182.3816741287,75.9854996290
2000,S,other_services,80668.0000000000,31335.0000000000,27113.0000000000,208.1000000000,205.9000000000,2019,10,0.0135950575,131.6804273919,150.5766458433,35681.8078875360,41238.1311605481,173.2967843008,198.1649743419,75.9854996290
2001,B,mining,8429.0000000000,44068.0000000000,37223.0000000000,184.4000000000,178.9000000000,2019,10,0.0014745096,208.0659586361,238.9804772234,48988.4729817708,57997.0455729167,273.8315985566,314.5176007208,75.9831808063
