industry,industry_name,employees,total_monthly,regular_monthly,total_hours,regular_hours,year,table_group,tsic_version,regime,employment_share,regular_hourly,total_hourly,real_regular_monthly,real_total_monthly,real_regular_hourly,real_total_hourly,cpi_2024_100
石油及天然氣礦業,石油及天然氣礦業,1450.0000000000,81393.0000000000,62883.0000000000,170.1000000000,160.5000000000,2016,1,10,tsic10_2016_2020,0.0001946510,391.7943925234,478.5008818342,70726.7013944431,91545.5434155162,440.6648061959,538.1866161994,88.9098441751
砂石及黏土採取業,砂、石及黏土採取業,2322.0000000000,34285.0000000000,31284.0000000000,174.9000000000,172.0000000000,2016,1,10,tsic10_2016_2020,0.0003117101,181.8837209302,196.0263007433,35186.2049587926,38561.5342351427,204.5709590627,220.4776114073,88.9098441751
其他製造業,其他製造業,79796.0000000000,40053.0000000000,33082.0000000000,172.1000000000,159.0000000000,2016,2,10,tsic10_2016_2020,0.0107119811,208.0628930818,232.7309703661,37208.4782140001,45049.0048336057,234.0155862516,261.7606323859,88.9098441751
其他運輸工具及其零件製造業,其他運輸工具及其零件製造業,70785.0000000000,47871.0000000000,37651.0000000000,177.3000000000,159.3000000000,2016,2,10,tsic10_2016_2020,0.0095023257,236.3527934714,270.0000000000,42347.3917307090,53842.1818687624,265.8342230427,303.6784087353,88.9098441751
化學材料製造業,化學材料製造業,61403.0000000000,69554.0000000000,49491.0000000000,175.3000000000,161.9000000000,2016,2,10,tsic10_2016_2020,0.0082428665,305.6886967264,396.7712492869,55664.2523211740,78229.8075598985,343.8187295934,446.2624504273,88.9098441751
化學製品製造業,化學製品製造業,48104.0000000000,53781.0000000000,44399.0000000000,169.3000000000,158.0000000000,2016,2,10,tsic10_2016_2020,0.0064575810,281.0063291139,317.6668635558,49937.1024793963,60489.3648155232,316.0576106291,357.2909912317,88.9098441751
印刷及資料儲存媒體複製業,印刷及資料儲存媒體複製業,62950.0000000000,37427.0000000000,30917.0000000000,174.3000000000,161.6000000000,2016,2,10,tsic10_2016_2020,0.0084505390,191.3180693069,214.7274813540,34773.4272698821,42095.4511249435,215.1820994423,241.5114809234,88.9098441751
基本金屬製造業,基本金屬製造業,111237.0000000000,53516.0000000000,39727.0000000000,179.9000000000,160.5000000000,2016,2,10,tsic10_2016_2020,0.0149326863,247.5202492212,297.4763757643,44682.3412734291,60191.3100810238,278.3946496787,334.5820460313,88.9098441751
塑膠製品製造業,塑膠製品製造業,136280.0000000000,39924.0000000000,32760.0000000000,171.7000000000,160.1000000000,2016,2,10,tsic10_2016_2020,0.0182945107,204.6221111805,232.5218404193,36846.3135932121,44903.9140383211,230.1456189457,261.5254166472,88.9098441751
家具製造業,家具製造業,25067.0000000000,32719.0000000000,27395.0000000000,171.6000000000,160.2000000000,2016,2,10,tsic10_2016_2020,0.0033650462,171.0049937578,190.6701631702,30812.1111381577,36800.1994644782,192.3352755191,214.4533768326,88.9098441751
成衣及服飾品製造業,成衣及服飾品製造業,41218.0000000000,33041.0000000000,29029.0000000000,165.6000000000,160.1000000000,2016,2,10,tsic10_2016_2020,0.0055331901,181.3179262961,199.5229468599,32649.9278784296,37162.3640852662,203.9345901214,224.4104111429,88.9098441751
木竹製品製造業,木竹製品製造業,18423.0000000000,36584.0000000000,29854.0000000000,179.9000000000,163.1000000000,2016,2,10,tsic10_2016_2020,0.0024731419,183.0410790926,203.3574207893,33577.8341273429,41147.2996487812,205.8726801186,228.7231775919,88.9098441751
機械設備製造業,機械設備製造業,221413.0000000000,39977.0000000000,31392.0000000000,173.9000000000,158.4000000000,2016,2,10,tsic10_2016_2020,0.0297229418,198.1818181818,229.8849913744,35307.6763222868,44963.5249852210,222.9019969841,258.5596606396,88.9098441751
橡膠製品製造業,橡膠製品製造業,37829.0000000000,40519.0000000000,31766.0000000000,182.1000000000,160.3000000000,2016,2,10,tsic10_2016_2020,0.0050782437,198.1659388646,222.5096101043,35728.3271551274,45573.1312723859,222.8841369627,250.2643123140,88.9098441751
汽車及其零件製造業,汽車及其零件製造業,82320.0000000000,47992.0000000000,35650.0000000000,174.9000000000,156.0000000000,2016,2,10,tsic10_2016_2020,0.0110508081,228.5256410256,274.3967981704,40096.7973015266,53978.2747852697,257.0307519329,308.6236408535,88.9098441751
產業用機械設備維修及安裝業,產業用機械設備維修及安裝業,41975.0000000000,46182.0000000000,37448.0000000000,170.7000000000,161.6000000000,2016,2,10,tsic10_2016_2020,0.0056348113,231.7326732673,270.5448154657,42119.0705567340,51942.5047118962,260.6378128511,304.2911816748,88.9098441751
皮革毛皮及其製品製造業,皮革、毛皮及其製品製造業,27308.0000000000,42379.0000000000,33112.0000000000,172.8000000000,158.2000000000,2016,2,10,tsic10_2016_2020,0.0036658827,209.3046776233,245.2488425926,37242.2202594151,47665.1380881177,235.4122645981,275.8399194914,88.9098441751
石油及煤製品製造業,石油及煤製品製造業,11310.0000000000,84151.0000000000,59624.0000000000,177.1000000000,164.3000000000,2016,2,10,tsic10_2016_2020,0.0015182779,362.8971393792,475.1609260305,67061.1905275237,94647.5621240046,408.1630585972,534.4300515189,88.9098441751
紙漿紙及紙製品製造業,紙漿、紙及紙製品製造業,51275.0000000000,37533.0000000000,31182.0000000000,176.9000000000,161.3000000000,2016,2,10,tsic10_2016_2020,0.0068832627,193.3168009919,212.1707179197,35071.4820043815,42214.6730187433,217.4301426186,238.6357999929,88.9098441751
紡織業,紡織業,104575.0000000000,38266.0000000000,32093.0000000000,181.3000000000,162.6000000000,2016,2,10,tsic10_2016_2020,0.0140383656,197.3739237392,211.0645339217,36096.1154501513,43039.1036617171,221.9933299517,237.3916363029,88.9098441751
藥品及醫用化學製品製造業,藥品及醫用化學製品製造業,28784.0000000000,47292.0000000000,36601.0000000000,169.8000000000,159.8000000000,2016,2,10,tsic10_2016_2020,0.0038640240,229.0425531915,278.5159010601,41166.4201411830,53190.9603922523,257.6121410587,313.2565394126,88.9098441751
金屬製品製造業,金屬製品製造業,330194.0000000000,36040.0000000000,30460.0000000000,173.9000000000,160.4000000000,2016,2,10,tsic10_2016_2020,0.0443259296,189.9002493766,207.2455434158,34259.4234447265,40535.4438919220,213.5874279596,233.0962845999,88.9098441751
電力設備製造業,電力設備製造業,129776.0000000000,38935.0000000000,31222.0000000000,172.2000000000,157.7000000000,2016,2,10,tsic10_2016_2020,0.0174214003,197.9835129994,226.1033681765,35116.4713982683,43791.5512744723,222.6789562351,254.3063372501,88.9098441751
電子零組件製造業,電子零組件製造業,589520.0000000000,61633.0000000000,41359.0000000000,178.4000000000,158.2000000000,2016,2,10,tsic10_2016_2020,0.0791383914,261.4348925411,345.4764573991,46517.9085440067,69320.7828354835,294.0449339065,388.5694105128,88.9098441751
電腦電子產品及光學製品製造業,電腦、電子產品及光學製品製造業,208001.0000000000,55084.0000000000,44121.0000000000,170.1000000000,159.1000000000,2016,2,10,tsic10_2016_2020,0.0279224870,277.3161533627,323.8330393886,49624.4261918837,61954.8943213826,311.9071413695,364.2263040646,88.9098441751
非金屬礦物製品製造業,非金屬礦物製品製造業,71898.0000000000,39061.0000000000,31496.0000000000,176.3000000000,160.1000000000,2016,2,10,tsic10_2016_2020,0.0096517371,196.7270455965,221.5598411798,35424.6487463922,43933.2678652154,221.2657635627,249.1960741079,88.9098441751
食品製造業,食品製造業,115459.0000000000,38904.0000000000,32469.0000000000,175.7000000000,159.0000000000,2016,2,10,tsic10_2016_2020,0.0154994564,204.2075471698,221.4228799089,36519.0157526863,43756.6844942101,229.6793443565,249.0420289938,88.9098441751
飲料及菸草製造業,飲料及菸草製造業,16079.0000000000,57142.0000000000,42476.0000000000,172.3000000000,159.0000000000,2016,2,10,tsic10_2016_2020,0.0021584784,267.1446540881,331.6424840395,47774.2373682929,64269.5986368536,300.4669016874,373.0098586004,88.9098441751
氣體燃料供應業,氣體燃料供應業,5288.0000000000,64368.0000000000,48691.0000000000,168.6000000000,162.1000000000,2016,3,10,tsic10_2016_2020,0.0007098721,300.3763109192,381.7793594306,54764.4644434399,72396.9326424871,337.8437041545,429.4005494809,88.9098441751
電力供應業,電力供應業,24844.0000000000,100662.0000000000,68483.0000000000,172.7000000000,161.6000000000,2016,3,10,tsic10_2016_2020,0.0033351103,423.7809405941,582.8720324262,77025.2165385819,113218.0591855896,476.6411914516,655.5764863091,88.9098441751
廢(污)水處理業,廢（污）水處理業,1855.0000000000,35452.0000000000,32258.0000000000,169.6000000000,164.7000000000,2016,4,10,tsic10_2016_2020,0.0002490191,195.8591378264,209.0330188679,36281.6966999339,39874.0998017874,220.2895974495,235.1067205294,88.9098441751
廢棄物清除業,廢棄物清除業,8317.0000000000,30003.0000000000,26554.0000000000,168.9000000000,164.1000000000,2016,4,10,tsic10_2016_2020,0.0011164914,161.8159658745,177.6376554174,29866.2091316897,33745.4196195709,182.0000556471,199.7952612171,88.9098441751
廢棄物處理業,廢棄物處理業,5739.0000000000,33911.0000000000,30553.0000000000,171.7000000000,163.0000000000,2016,4,10,tsic10_2016_2020,0.0007704153,187.4417177914,197.5014560280,34364.0237855131,38140.8834023020,210.8222318130,222.1367699610,88.9098441751
污染整治業,污染整治業,5759.0000000000,30453.0000000000,27571.0000000000,171.4000000000,165.2000000000,2016,4,10,tsic10_2016_2020,0.0007731001,166.8946731235,177.6721120187,31010.0644712592,34251.5503007963,187.7122546686,199.8340157573,88.9098441751
用水供應業,用水供應業,6168.0000000000,82254.0000000000,60381.0000000000,162.6000000000,160.7000000000,2016,4,10,tsic10_2016_2020,0.0008280052,375.7373988799,505.8671586716,67912.6148068296,92513.9401189276,422.6049459044,568.9664213956,88.9098441751
其他專門營造業,其他專門營造業,162322.0000000000,42255.0000000000,39162.0000000000,166.7000000000,163.4000000000,2016,5,10,tsic10_2016_2020,0.0217904430,239.6695226438,253.4793041392,44046.8660847794,47525.6709670689,269.5646639215,285.0970064011,88.9098441751
土木工程業,土木工程業,83176.0000000000,39556.0000000000,33988.0000000000,170.7000000000,162.9000000000,2016,5,10,tsic10_2016_2020,0.0111657193,208.6433394721,231.7281780902,38227.4879855340,44490.0116145634,234.6684345337,260.6327569687,88.9098441751
建築工程業,建築工程業,79053.0000000000,47447.0000000000,41686.0000000000,160.5000000000,156.5000000000,2016,5,10,tsic10_2016_2020,0.0106122392,266.3642172524,295.6199376947,46885.6968390305,53365.2942935633,299.5891171823,332.4940454428,88.9098441751
機電管道及其他建築設備安裝業,機電、管道及其他建築設備安裝業,136327.0000000000,42865.0000000000,37723.0000000000,166.5000000000,161.2000000000,2016,5,10,tsic10_2016_2020,0.0183008201,234.0136476427,257.4474474474,42428.3726397051,48211.7592238412,263.2033042165,289.5601154585,88.9098441751
批發業,批發業,1060584.0000000000,49073.0000000000,40851.0000000000,164.2000000000,161.1000000000,2016,6,10,tsic10_2016_2020,0.1423750028,253.5754189944,298.8611449452,45946.5432416455,55194.1131550579,285.2051101282,336.1395441843,88.9098441751
綜合商品零售業,綜合商品零售業,165258.0000000000,42595.0000000000,37749.0000000000,160.4000000000,157.0000000000,2016,6,10,tsic10_2016_2020,0.0221845778,240.4394904459,265.5548628429,42457.6157457315,47908.0808151059,270.4306735397,298.6788080742,88.9098441751
零售業,零售業,430836.0000000000,37546.0000000000,31821.0000000000,167.2000000000,163.0000000000,2016,6,10,tsic10_2016_2020,0.0578363210,195.2208588957,224.5574162679,35790.1875717217,42229.2945717564,219.5717028940,252.5675512665,88.9098441751
倉儲業,倉儲業,12655.0000000000,48293.0000000000,39009.0000000000,172.5000000000,159.5000000000,2016,7,10,tsic10_2016_2020,0.0016988335,244.5705329154,279.9594202899,43874.7816531627,54316.8199742671,275.0770009603,314.8801157929,88.9098441751
公共汽車客運業,公共汽車客運業,22678.0000000000,49924.0000000000,40496.0000000000,196.8000000000,164.1000000000,2016,7,10,tsic10_2016_2020,0.0030443419,246.7763558806,253.6788617886,45547.2623709010,56151.2625099976,277.5579669159,285.3214558435,88.9098441751
其他汽車客運業,其他汽車客運業,12018.0000000000,27583.0000000000,24938.0000000000,170.6000000000,168.2000000000,2016,7,10,tsic10_2016_2020,0.0016133213,148.2639714625,161.6822977726,28048.6376186668,31023.5612894252,166.7576552834,181.8497144749,88.9098441751
其他運輸輔助業,其他運輸輔助業,67738.0000000000,44142.0000000000,36638.0000000000,167.6000000000,161.0000000000,2016,7,10,tsic10_2016_2020,0.0090932901,227.5652173913,263.3770883055,41208.0353305282,49648.0456236742,255.9505300033,296.2293891627,88.9098441751
