year,industry_code,industry,employees,total_monthly,regular_monthly,total_hours,regular_hours,source_release,tsic_version,employment_share,regular_hourly,total_hourly,real_regular_monthly,real_total_monthly,real_regular_hourly,real_total_hourly,cpi_2024_100
2016,B,mining,3772.0000000000,52398.0000000000,43434.0000000000,173.1000000000,167.6000000000,2016,10,0.0005063611,259.1527446301,302.7036395147,48851.7333518795,58933.8565218903,291.4781226246,340.4613317267,88.9098441751
2016,C,manufacturing,2722979.0000000000,47258.0000000000,36120.0000000000,175.1000000000,159.4000000000,2016,10,0.3655383665,226.5997490590,269.8914905768,40625.4226796954,53152.7194074486,254.8646341261,303.5563644058,88.9098441751
2016,D,electricity_gas,30132.0000000000,94292.0000000000,65009.0000000000,172.0000000000,161.7000000000,2016,10,0.0040449824,402.0346320346,548.2093023256,73117.8876795215,106053.4982091317,452.1823604176,616.5901058670,88.9098441751
2016,E,water_waste,27838.0000000000,42843.0000000000,35464.0000000000,168.6000000000,163.4000000000,2016,10,0.0037370310,217.0379436965,254.1103202847,39887.5966199534,48187.0150572035,244.1101384330,285.8067322491,88.9098441751
2016,F,construction,460878.0000000000,42839.0000000000,38236.0000000000,166.3000000000,161.5000000000,2016,10,0.0618692216,236.7554179567,257.6007215875,43005.3616163021,48182.5161178148,266.2870688316,289.7325082250,88.9098441751
2016,G,wholesale_retail,1656678.0000000000,45429.0000000000,38193.0000000000,164.5000000000,161.1000000000,2016,10,0.2223959016,237.0763500931,276.1641337386,42956.9980178739,51095.5793719790,266.6480323890,310.6114247537,88.9098441751
2016,H,transportation_storage,288003.0000000000,52132.0000000000,41301.0000000000,172.4000000000,163.1000000000,2016,10,0.0386621219,253.2250153280,302.3897911833,46452.6739228710,58634.6770525437,284.8109989140,340.1083355716,88.9098441751
2016,I,accommodation_food,403350.0000000000,32622.0000000000,29158.0000000000,163.5000000000,160.2000000000,2016,10,0.0541465432,182.0099875156,199.5229357798,32795.0186737142,36691.1001843030,204.7129754913,224.4103986808,88.9098441751
2016,J,information_communication,199699.0000000000,67709.0000000000,54148.0000000000,161.2000000000,158.4000000000,2016,10,0.0268080093,341.8434343434,420.0310173697,60902.1425044337,76154.6717668741,384.4832228815,472.4235221270,88.9098441751
2016,K,finance_insurance,377479.0000000000,85417.0000000000,60322.0000000000,162.8000000000,159.6000000000,2016,10,0.0506735664,377.9573934837,524.6744471744,67846.2554508468,96071.4764405188,425.1018511958,590.1196341555,88.9098441751
2016,L,real_estate,115802.0000000000,41339.0000000000,35106.0000000000,168.6000000000,167.2000000000,2016,10,0.0155455014,209.9641148325,245.1897983393,39484.9415446674,46495.4138470633,236.1539566069,275.7735103622,88.9098441751
2016,M,professional_scientific,257920.0000000000,58708.0000000000,50279.0000000000,165.5000000000,161.2000000000,2016,10,0.0346237174,311.9044665012,354.7311178248,56550.5433807421,66030.9334075182,350.8098224612,398.9784495923,88.9098441751
2016,N,support_services,344512.0000000000,36023.0000000000,32231.0000000000,181.6000000000,172.1000000000,2016,10,0.0462480077,187.2806507844,198.3645374449,36251.3288590604,40516.3233995201,210.6410741375,223.1075077066,88.9098441751
2016,P,education,73560.0000000000,24873.0000000000,23342.0000000000,132.7000000000,131.9000000000,2016,10,0.0098748475,176.9673995451,187.4378296910,26253.5608025872,27975.5298536009,199.0414010810,210.8178587310,88.9098441751
2016,Q,health_social,342756.0000000000,65239.0000000000,53430.0000000000,166.2000000000,161.9000000000,2016,10,0.0460122786,330.0185299568,392.5330926594,60094.5828841673,73376.5766943701,371.1833408534,441.4956479806,88.9098441751
2016,R,arts_recreation,56810.0000000000,36807.0000000000,34249.0000000000,169.6000000000,167.4000000000,2016,10,0.0076262926,204.5937873357,217.0224056604,38521.0437806447,41398.1155196996,230.1137621305,244.0926622624,88.9098441751
2016,S,other_services,87061.0000000000,34145.0000000000,29653.0000000000,182.9000000000,179.9000000000,2016,10,0.0116872498,164.8304613674,186.6867140514,33351.7624230622,38404.0713565393,185.3905637747,209.9730527968,88.9098441751
2017,B,mining,3665.0000000000,56302.0000000000,42975.0000000000,170.2000000000,164.4000000000,2017,10,0.0004847921,261.4051094891,330.7990599295,48036.8886239341,62933.6335847524,292.1951862770,369.7628295226,89.4624969082
2017,C,manufacturing,2761568.0000000000,48660.0000000000,36910.0000000000,175.5000000000,160.7000000000,2017,10,0.3652895750,229.6826384568,277.2649572650,41257.5115557744,54391.5067001892,256.7362262338,309.9231151008,89.4624969082
2017,D,electricity_gas,30416.0000000000,94551.0000000000,64014.0000000000,176.5000000000,164.8000000000,2017,10,0.0040233113,388.4344660194,535.6997167139,71554.0055467717,105687.8616935797,434.1869268615,598.7980832497,89.4624969082
2017,E,water_waste,28182.0000000000,43744.0000000000,35625.0000000000,167.8000000000,162.9000000000,2017,10,0.0037278064,218.6924493554,260.6912991657,39821.1554910448,48896.4666891302,244.4515376982,291.3972985049,89.4624969082
2017,F,construction,461027.0000000000,42506.0000000000,38002.0000000000,165.3000000000,161.7000000000,2017,10,0.0609828753,235.0154607297,257.1445856019,42478.1347640894,47512.6466049783,262.6971846882,287.4328288262,89.4624969082
2017,G,wholesale_retail,1681587.0000000000,47368.0000000000,39310.0000000000,164.7000000000,161.3000000000,2017,10,0.2224338494,243.7073775573,287.6017000607,43940.1999256975,52947.3261277140,272.4128947656,321.4773899679,89.4624969082
2017,H,transportation_storage,290446.0000000000,52867.0000000000,42020.0000000000,172.1000000000,163.1000000000,2017,10,0.0384190778,257.6333537707,307.1876815805,46969.4022100689,59094.0358553001,287.9791674437,343.3703419831,89.4624969082
2017,I,accommodation_food,418715.0000000000,33527.0000000000,29944.0000000000,160.5000000000,157.2000000000,2017,10,0.0553860069,190.4834605598,208.8909657321,33471.0085620729,37476.0387410038,212.9199017944,233.4955684798,89.4624969082
2017,J,information_communication,202448.0000000000,69022.0000000000,55527.0000000000,162.7000000000,160.5000000000,2017,10,0.0267790414,345.9626168224,424.2286416718,62067.3487986315,77151.8819453444,386.7124535740,474.1971846671,89.4624969082
2017,K,finance_insurance,381777.0000000000,86294.0000000000,60249.0000000000,164.8000000000,161.7000000000,2017,10,0.0504999906,372.5974025974,523.6286407767,67345.5381664550,96458.2959142238,416.4844660882,585.3051936543,89.4624969082
2017,L,real_estate,115632.0000000000,43342.0000000000,36807.0000000000,169.0000000000,167.4000000000,2017,10,0.0152953554,219.8745519713,256.4615384615,41142.3795132319,48447.1163871681,245.7728764231,286.6693277347,89.4624969082
2017,M,professional_scientific,260106.0000000000,59926.0000000000,50801.0000000000,165.2000000000,161.5000000000,2017,10,0.0344058195,314.5572755418,362.7481840194,56784.6882835247,66984.4930233362,351.6079769878,405.4751393664,89.4624969082
2017,N,support_services,350498.0000000000,36375.0000000000,32834.0000000000,181.6000000000,172.9000000000,2017,10,0.0463625250,189.9016772701,200.3028634361,36701.4124741885,40659.4956066458,212.2695921006,223.8959009177,89.4624969082
2017,P,education,74644.0000000000,25288.0000000000,23792.0000000000,132.0000000000,131.4000000000,2017,10,0.0098736207,181.0654490107,191.5757575758,26594.3840405035,28266.5931244222,202.3925726066,214.1408570032,89.4624969082
2017,Q,health_social,353682.0000000000,65681.0000000000,53605.0000000000,166.8000000000,163.2000000000,2017,10,0.0467836923,328.4620098039,393.7709832134,59918.9625290514,73417.3561770474,367.1505056927,440.1520154499,89.4624969082
2017,R,arts_recreation,57378.0000000000,37486.0000000000,34995.0000000000,164.6000000000,162.6000000000,2017,10,0.0075897408,215.2214022140,227.7399756987,39116.9497939400,41901.3567645560,240.5716469492,254.5647434056,89.4624969082
2017,S,other_services,88171.0000000000,34525.0000000000,30387.0000000000,179.0000000000,176.6000000000,2017,10,0.0116629202,172.0668176670,192.8770949721,33966.1881236878,38591.5899881634,192.3340210854,215.5954747942,89.4624969082
2018,B,mining,3495.0000000000,56288.0000000000,42589.0000000000,167.8000000000,162.0000000000,2018,10,0.0004437249,262.8950617284,335.4469606675,46971.1222273371,62079.6573747293,289.9451989342,369.9622012797,90.6706035122
2018,C,manufacturing,2845162.0000000000,52948.0000000000,38214.0000000000,176.0000000000,160.9000000000,2018,10,0.3612215169,237.5015537601,300.8409090909,42145.9640939082,58395.9937940088,261.9388694463,331.7954192841,90.6706035122
2018,D,electricity_gas,31676.0000000000,96054.0000000000,64671.0000000000,177.6000000000,166.0000000000,2018,10,0.0040215822,389.5843373494,540.8445945946,71325.2118050228,105937.3118510562,429.6699506327,596.4938730352,90.6706035122
2018,E,water_waste,33083.0000000000,45319.0000000000,35775.0000000000,167.6000000000,162.7000000000,2018,10,0.0042002148,219.8832206515,270.3997613365,39456.0073653522,49982.0209025966,242.5077281214,298.2220817577,90.6706035122
2018,F,construction,462940.0000000000,43645.0000000000,38654.0000000000,166.0000000000,162.5000000000,2018,10,0.0587748216,237.8707692308,262.9216867470,42631.2371404702,48135.7775390858,262.3460747106,289.9745634885,90.6706035122
2018,G,wholesale_retail,1688796.0000000000,49798.0000000000,40362.0000000000,164.3000000000,160.6000000000,2018,10,0.2144093914,251.3200498132,303.0919050517,44514.9788757608,54921.8799379401,277.1791959885,334.2780276198,90.6706035122
2018,H,transportation_storage,301284.0000000000,54994.0000000000,43701.0000000000,173.4000000000,164.4000000000,2018,10,0.0382509901,265.8211678832,317.1510957324,48197.5395631937,60652.5134605221,293.1723817713,349.7838146512,90.6706035122
2018,I,accommodation_food,491789.0000000000,34077.0000000000,30758.0000000000,158.3000000000,155.0000000000,2018,10,0.0624374881,198.4387096774,215.2684775742,33922.7917412579,37583.2945629380,218.8567209113,237.4181589573,90.6706035122
2018,J,information_communication,228389.0000000000,69909.0000000000,57383.0000000000,161.7000000000,159.7000000000,2018,10,0.0289962473,359.3174702567,432.3376623377,63287.3255246961,77102.1668456857,396.2888260782,476.8223057866,90.6706035122
2018,K,finance_insurance,387365.0000000000,89215.0000000000,61643.0000000000,166.0000000000,162.7000000000,2018,10,0.0491798263,378.8752304856,537.4397590361,67985.6509300462,98394.6246568803,417.8589485559,592.7387027523,90.6706035122
2018,L,real_estate,114904.0000000000,47658.0000000000,40377.0000000000,169.1000000000,166.7000000000,2018,10,0.0145882017,242.2135572885,281.8332347723,44531.5222750754,52561.6883023886,267.1357065092,310.8319828645,90.6706035122
2018,M,professional_scientific,271070.0000000000,58773.0000000000,49721.0000000000,165.3000000000,161.4000000000,2018,10,0.0344150233,308.0607187113,355.5535390200,54836.9571547917,64820.3471945169,339.7580988525,392.1376115821,90.6706035122
2018,N,support_services,394147.0000000000,37133.0000000000,33527.0000000000,178.6000000000,170.8000000000,2018,10,0.0500408684,196.2939110070,207.9115341545,36976.7032547355,40953.7364499685,216.4912368544,229.3042354422,90.6706035122
2018,P,education,70622.0000000000,26033.0000000000,24597.0000000000,131.4000000000,130.7000000000,2018,10,0.0089661629,188.1943381790,198.1202435312,27127.8661961025,28711.6209571548,207.5582723497,218.5054867363,90.6706035122
2018,Q,health_social,368226.0000000000,67014.0000000000,54457.0000000000,165.5000000000,161.9000000000,2018,10,0.0467499405,336.3619518221,404.9184290030,60060.2597650589,73909.2907779653,370.9713388824,446.5818173895,90.6706035122
2018,R,arts_recreation,70250.0000000000,38742.0000000000,36093.0000000000,162.2000000000,160.0000000000,2018,10,0.0089189338,225.5812500000,238.8532675709,39806.7274308220,42728.2917497826,248.7920464426,263.4296655350,90.6706035122
2018,S,other_services,113304.0000000000,34966.0000000000,30984.0000000000,178.0000000000,175.5000000000,2018,10,0.0143850659,176.5470085470,196.4382022472,34172.0456242647,38563.7666956507,194.7125106796,216.6503746947,90.6706035122
2019,B,mining,3466.0000000000,57364.0000000000,43079.0000000000,168.7000000000,163.1000000000,2019,10,0.0004350667,264.1263028817,340.0355660937,47247.3229005951,62914.5391227684,289.6831569626,372.9373984752,91.1776527331
2019,C,manufacturing,2854715.0000000000,53776.0000000000,39039.0000000000,175.1000000000,160.8000000000,2019,10,0.3583356953,242.7798507463,307.1159337521,42816.4126074499,58979.3643376681,266.2712226831,336.8324633790,91.1776527331
2019,D,electricity_gas,32284.0000000000,96137.0000000000,65109.0000000000,176.9000000000,165.4000000000,2019,10,0.0040524219,393.6457073761,543.4539287733,71408.9451179193,105439.2135772537,431.7348556102,596.0385165475,91.1776527331
2019,E,water_waste,33567.0000000000,45830.0000000000,36241.0000000000,167.8000000000,162.8000000000,2019,10,0.0042134694,222.6105651106,273.1227651967,39747.6782014547,50264.5095878334,244.1503575028,299.5501167332,91.1776527331
2019,F,construction,469923.0000000000,44833.0000000000,39128.0000000000,166.6000000000,162.7000000000,2019,10,0.0589866887,240.4917025200,269.1056422569,42914.0242450959,49171.0398942032,263.7616732950,295.1442970841,91.1776527331
2019,G,wholesale_retail,1704996.0000000000,51328.0000000000,41306.0000000000,164.1000000000,160.1000000000,2019,10,0.2140181864,258.0012492192,312.7848872639,45302.7674674895,56294.4959224157,282.9654432698,343.0499446826,91.1776527331
2019,H,transportation_storage,303113.0000000000,55588.0000000000,44719.0000000000,173.3000000000,164.1000000000,2019,10,0.0380480040,272.5106642291,320.7616849394,49046.0092572184,60966.6934097421,298.8787888923,351.7985770903,91.1776527331
2019,I,accommodation_food,503093.0000000000,34686.0000000000,31487.0000000000,158.6000000000,155.7000000000,2019,10,0.0631503250,202.2286448298,218.7011349306,34533.6812871942,38042.2164425832,221.7962831547,239.8626509621,91.1776527331
