,,"表 13-2 引進移工在臺人數－按工作內容分",,,,,,,"Table 13-2 Foreign Workers in Taiwan by Work Responsibilities",,,,,,,
,,,,,,,"單位：人",,,,,,,,,"Unit：Person"
"年   底   別/End of year",,"總　　計/Grand/total","有效聘僱/許可移工/(註)/Foreign workers /with a valid /employment permit/(Remark)",,"產　　業　　移　　工　　　　Foreign workers",,,,,,,,,,,"聘僱許可/失效移工/Foreign/ workers whose /employment /permit has /become invalid"
,,,,,,,,"in productive industries",,,"社　福　移　工　　Foreign workers in social welfare",,,,,
,,,,,"計/Total",,"農、林、/漁、牧/Agriculture, forestry,/fishing & animal/husbandry","製　造/Manu-/facturing",,"營　建/Construc-/tion廢棄物清除、處理/及資源物回收處理/Waste collection, treat-/ment and disposal acti-/vities; materials recovery","計/Total",,,,"看 護 工/Nursing/workers","家庭幫傭/Home-/maids"
,,,,,"男/Male","女/Female",,,,,,"男/Male","女/Female",,,
"85年底","End of 1996","236,555","236,555","206,300",0,0,"1,384","162,482","42,434",0,"30,255",0,0,"16,308","13,947",0
"86年底","End of 1997","248,396","248,396","209,284",0,0,"1,144","165,534","42,606",0,"39,112",0,0,"26,233","12,879",0
"87年底","End of 1998","270,620","270,620","217,252",0,0,"1,109","168,197","47,946",0,"53,368",0,0,"41,844","11,524",0
"88年底","End of 1999","294,967","294,967","220,174",0,0,993,"173,735","45,446",0,"74,793",0,0,"67,063","7,730",0
"89年底","End of 2000","326,515","326,515","220,184",0,0,"1,185","181,998","37,001",0,"106,331",0,0,"98,508","7,823",0
"90年底","End of 2001","304,605","304,605","191,671","142,498","49,173","1,249","157,055","33,367",0,"112,934","2,775","110,159","103,780","9,154",0
"91年底","End of 2002","303,684","303,684","182,973","132,125","50,848","2,935","156,697","23,341",0,"120,711","2,044","118,667","113,755","6,956",0
"92年底","End of 2003","300,150","300,150","179,552","126,592","52,960","3,396","162,039","14,117",0,"120,598","1,834","118,764","115,724","4,874",0
"93年底","End of 2004","314,034","314,034","182,967","126,529","56,438","3,089","167,694","12,184",0,"131,067","1,924","129,143","128,223","2,844",0
"94年底","End of 2005","327,396","327,396","183,381","126,184","57,197","3,147","166,928","13,306",0,"144,015","2,219","141,796","141,752","2,263",0
"95年底","End of 2006","338,755","338,755","184,970","127,827","57,143","3,322","169,903","11,745",0,"153,785","2,246","151,539","151,391","2,394",0
"96年底","End of 2007","357,937","357,937","195,709","136,990","58,719","3,786","183,329","8,594",0,"162,228","2,040","160,188","159,702","2,526",0
"97年底","End of 2008","365,060","365,060","196,633","140,141","56,492","4,865","185,624","6,144",0,"168,427","1,862","166,565","165,898","2,529",0
"98年底","End of 2009","351,016","351,016","176,073","126,762","49,311","6,452","165,790","3,831",0,"174,943","1,840","173,103","172,647","2,296",0
"99年底","End of 2010","379,653","379,653","193,545","138,281","55,264","7,745","182,192","3,608",0,"186,108","1,840","184,268","183,826","2,282",0
"100年底","End of 2011","425,660","425,660","227,806","163,809","63,997","8,670","215,271","3,865",0,"197,854","1,847","196,007","195,726","2,128",0
"101年底","End of 2012","445,579","445,579","242,885","176,106","66,779","9,313","230,604","2,968",0,"202,694","1,772","200,922","200,530","2,164",0
"102年底","End of 2013","489,134","489,134","278,919","199,252","79,667","9,788","265,741","3,390",0,"210,215","1,711","208,504","208,081","2,134",0
"103年底","End of 2014","551,596","551,596","331,585","232,530","99,055","10,316","316,409","4,860",0,"220,011","1,774","218,237","217,858","2,153",0
"104年底","End of 2015","587,940","528,095","336,363","233,038","103,325","7,594","322,801","5,968",0,"191,732","1,326","190,406","190,107","1,625","59,845"
"105年底","End of 2016","624,768","562,017","357,997","248,200","109,797","7,710","344,752","5,535",0,"204,020","1,399","202,621","202,502","1,518","62,751"
"106年底","End of 2017","676,142","615,168","398,295","277,602","120,693","9,297","384,663","4,335",0,"216,873","1,388","215,485","215,313","1,560","60,974"
"107年底","End of 2018","706,850","646,474","422,256","297,293","124,963","9,658","409,182","3,416",0,"224,218","1,524","222,694","222,691","1,527","60,376"
"108年底","End of 2019","718,058","662,788","433,054","305,082","127,972","9,915","419,276","3,863",0,"229,734","1,677","228,057","228,320","1,414","55,270"
"109年底","End of 2020","709,123","644,014","426,495","298,653","127,842","9,029","411,926","5,540",0,"217,519","1,619","215,900","216,244","1,275","65,109"
"110年底","End of 2021","669,992","598,247","405,419","282,036","123,383","7,646","391,911","5,862",0,"192,828","1,316","191,512","191,745","1,083","71,745"
"111年底","End of 2022","728,081","646,165","458,203","322,295","135,908","10,644","433,884","13,675",0,"187,962","1,387","186,575","186,810","1,152","81,916"
"112年底","End of 2023","753,430","664,214","463,229","331,662","131,567","13,497","428,784","20,948",0,"200,985","1,533","199,452","199,466","1,519","89,216"
"113年底","End of 2024","820,083","724,805","510,138","368,803","141,335","19,038","458,795","32,305",0,"214,667","1,638","213,029","212,805","1,862","95,278"
"114年底","End of 2025","866,275","766,212","540,662","388,387","152,275","23,371","482,608","34,305",378,"225,550","1,749","223,801","223,562","1,988","100,063"
"資料來源：","勞動部勞動力發展署。",,,,,,,"Source：","Workforce Development Agency, MOL.",,,,,,,
,,,,,,,,"Note：","1.See note 1 to note 3 of table 13-1./2.Data series were classified before 2001 refer to Statistical Classification of Industries, Rev.6. Data series from 2002 to 2009 /   refer to Rev.7. Data series from 2010 to 2012 refer to Rev.8. Data series from 2013 to 2015 refer to Rev.9. Data series from /   2016 to 2020 refer to Rev.10. Data series from 2021 refer to Rev.11.",,,,,,,
"說　　明：","1.同表13-1說明1至說明3。/2.90年以前依據行業統計分類第6次修訂編製，91-98年依據第7次修訂編製，99-101年依據第8次修訂編製，/  102-104年依據第9次修訂編製，105-109年依據第10次修訂編製，110年起依據第11次修訂編製。",,,,,,,,,,,,,,,
"附　　註：","103年以前產業移工及社福移工二項資料均包含有效聘僱許可及聘僱許可失效者，104年起依移工聘僱許可/狀況編列統計，僅有效聘僱許可者區分為產業移工及社福移工。",,,,,,,,,,,,,,,
,,,,,,,,"Remark：","The data of foreign workers in productive industrial and social welfare before 2014 included "Foreign workers with a valid /employment permit", "Foreign workers whose employment permit has become invalid". In statistics beginning from 2015 /about the employment permit situation of foreign workers, and only "Foreign workers with a valid employment permit" are /divided into productive industrial and social welfare.",,,,,,,

