regime,grain,start_year,end_year,metric,method,scale,n_industries,within,shift,interaction,residual,total
TSIC10,major,2016,2020,real_regular_monthly,laspeyres,2024_twd,14,2403.4509964774,-61.8486642684,-3.6356986833,0.0000000000,2337.9666335257
TSIC10,middle,2016,2020,real_regular_monthly,laspeyres,2024_twd,67,2482.9833918076,-248.2634768124,103.2467185305,0.0000000000,2337.9666335257
TSIC10,major,2016,2020,real_regular_monthly,paasche,2024_twd,14,2399.8152977940,-65.4843629517,3.6356986833,0.0000000000,2337.9666335257
TSIC10,middle,2016,2020,real_regular_monthly,paasche,2024_twd,67,2586.2301103381,-145.0167582819,-103.2467185305,0.0000000000,2337.9666335257
TSIC10,major,2016,2020,real_regular_monthly,tornqvist,log_change,14,0.0534051418,-0.0013994136,0.0000000000,-0.0000150942,0.0519906340
TSIC10,middle,2016,2020,real_regular_monthly,tornqvist,log_change,67,0.0564597766,-0.0040258834,0.0000000000,-0.0004432592,0.0519906340
TSIC11,major,2021,2024,real_regular_monthly,laspeyres,2024_twd,14,-175.2057755804,102.3241656375,-37.0572849755,0.0000000000,-109.9388949183
TSIC11,middle,2021,2024,real_regular_monthly,laspeyres,2024_twd,90,-35.0026190267,-64.2716673805,-10.6646085112,0.0000000000,-109.9388949183
TSIC11,major,2021,2024,real_regular_monthly,paasche,2024_twd,14,-212.2630605558,65.2668806620,37.0572849755,0.0000000000,-109.9388949183
TSIC11,middle,2021,2024,real_regular_monthly,paasche,2024_twd,90,-45.6672275378,-74.9362758916,10.6646085112,0.0000000000,-109.9388949183
TSIC11,major,2021,2024,real_regular_monthly,tornqvist,log_change,14,-0.0041685087,0.0018077409,0.0000000000,-0.0000083634,-0.0023691312
TSIC11,middle,2021,2024,real_regular_monthly,tornqvist,log_change,90,-0.0008723045,-0.0013354802,0.0000000000,-0.0001613465,-0.0023691312
