start_year,end_year,metric,method,scale,n_industries,within,shift,interaction,residual,total
2000,2024,real_regular_monthly,laspeyres,2024_twd,16,2525.0262781457,-11.5617932013,-406.5694409311,0.0000000000,2106.8950440133
2000,2024,real_regular_monthly,paasche,2024_twd,16,2118.4568372146,-418.1312341324,406.5694409311,0.0000000000,2106.8950440133
2000,2024,real_regular_monthly,tornqvist,log_change,16,0.0509359775,-0.0004119930,0.0000000000,-0.0044137378,0.0461102466
2000,2024,real_total_monthly,laspeyres,2024_twd,16,8247.2665761816,-360.8557426160,-1418.5267114151,0.0000000000,6467.8841221505
2000,2024,real_total_monthly,paasche,2024_twd,16,6828.7398647665,-1779.3824540311,1418.5267114151,0.0000000000,6467.8841221505
2000,2024,real_total_monthly,tornqvist,log_change,16,0.1288588911,-0.0149627792,0.0000000000,-0.0028115480,0.1110845639
2000,2024,real_regular_hourly,laspeyres,2024_twd,16,44.5986867989,-0.4857756143,-2.2558195916,0.0000000000,41.8570915931
2000,2024,real_regular_hourly,paasche,2024_twd,16,42.3428672074,-2.7415952059,2.2558195916,0.0000000000,41.8570915931
2000,2024,real_regular_hourly,tornqvist,log_change,16,0.1616865243,-0.0012955939,0.0000000000,-0.0048054370,0.1555854933
2000,2024,real_total_hourly,laspeyres,2024_twd,16,80.2489062515,-0.9994473571,-8.1434724600,0.0000000000,71.1059864343
2000,2024,real_total_hourly,paasche,2024_twd,16,72.1054337915,-9.1429198171,8.1434724600,0.0000000000,71.1059864343
2000,2024,real_total_hourly,tornqvist,log_change,16,0.2325519883,-0.0115222453,0.0000000000,-0.0029541083,0.2180756348
2008,2024,real_regular_monthly,laspeyres,2024_twd,16,3127.2632888595,72.5336699715,-101.3180911203,0.0000000000,3098.4788677108
2008,2024,real_regular_monthly,paasche,2024_twd,16,3025.9451977393,-28.7844211487,101.3180911203,0.0000000000,3098.4788677108
2008,2024,real_regular_monthly,tornqvist,log_change,16,0.0681718868,0.0011132774,0.0000000000,-0.0007152622,0.0685699020
2008,2024,real_total_monthly,laspeyres,2024_twd,16,8918.5149396920,-97.8345320426,-597.7952195066,0.0000000000,8222.8851881429
2008,2024,real_total_monthly,paasche,2024_twd,16,8320.7197201854,-695.6297515492,597.7952195066,0.0000000000,8222.8851881429
2008,2024,real_total_monthly,tornqvist,log_change,16,0.1501396986,-0.0062859467,0.0000000000,-0.0003702941,0.1434834578
2008,2024,real_regular_hourly,laspeyres,2024_twd,16,35.3476741641,0.1626862395,-0.3054918665,0.0000000000,35.2048685370
2008,2024,real_regular_hourly,paasche,2024_twd,16,35.0421822976,-0.1428056270,0.3054918665,0.0000000000,35.2048685370
2008,2024,real_regular_hourly,tornqvist,log_change,16,0.1292499761,0.0007199933,0.0000000000,-0.0007869083,0.1291830611
2008,2024,real_total_hourly,laspeyres,2024_twd,16,67.8058642695,-0.0518815910,-3.0679788481,0.0000000000,64.6860038304
2008,2024,real_total_hourly,paasche,2024_twd,16,64.7378854214,-3.1198604391,3.0679788481,0.0000000000,64.6860038304
2008,2024,real_total_hourly,tornqvist,log_change,16,0.2008052613,-0.0040746712,0.0000000000,-0.0004177807,0.1963128094
2016,2024,real_regular_monthly,laspeyres,2024_twd,17,2267.9690301117,218.2720988415,-144.5068868312,0.0000000000,2341.7342421220
2016,2024,real_regular_monthly,paasche,2024_twd,17,2123.4621432805,73.7652120103,144.5068868312,0.0000000000,2341.7342421220
2016,2024,real_regular_monthly,tornqvist,log_change,17,0.0485851372,0.0035997437,0.0000000000,-0.0004565092,0.0517283717
2016,2024,real_total_monthly,laspeyres,2024_twd,17,5827.7394057619,147.0413658996,-373.6741900098,0.0000000000,5601.1065816517
2016,2024,real_total_monthly,paasche,2024_twd,17,5454.0652157521,-226.6328241102,373.6741900098,0.0000000000,5601.1065816517
2016,2024,real_total_monthly,tornqvist,log_change,17,0.0970652192,-0.0003997018,0.0000000000,-0.0003553397,0.0963101777
2016,2024,real_regular_hourly,laspeyres,2024_twd,17,14.3160644996,1.6056251741,-0.9229129557,0.0000000000,14.9987767181
2016,2024,real_regular_hourly,paasche,2024_twd,17,13.3931515439,0.6827122185,0.9229129557,0.0000000000,14.9987767181
2016,2024,real_regular_hourly,tornqvist,log_change,17,0.0492735994,0.0044088476,0.0000000000,-0.0004019497,0.0532804974
2016,2024,real_total_hourly,laspeyres,2024_twd,17,33.4788930121,1.7551721950,-2.1658705938,0.0000000000,33.0681946132
2016,2024,real_total_hourly,paasche,2024_twd,17,31.3130224183,-0.4106983989,2.1658705938,0.0000000000,33.0681946132
2016,2024,real_total_hourly,tornqvist,log_change,17,0.0943096840,0.0022188304,0.0000000000,-0.0003218964,0.0962066180
