base_year,year,metric,actual,counterfactual,difference,difference_percent_actual
2000,2000,real_regular_monthly,44647.2043484172,44647.2043484172,0.0000000000,0.0000000000
2000,2001,real_regular_monthly,45378.4280373885,45275.9241511406,-102.5038862478,-0.2258868160
2000,2002,real_regular_monthly,45818.0833650521,45763.4853303273,-54.5980347248,-0.1191626334
2000,2003,real_regular_monthly,46024.3324352034,46018.2342444719,-6.0981907315,-0.0132499276
2000,2004,real_regular_monthly,45676.5252081153,45765.5522548660,89.0270467508,0.1949076607
2000,2005,real_regular_monthly,45010.2436198898,45145.3383718794,135.0947519896,0.3001422368
2000,2006,real_regular_monthly,45174.6154426334,45435.0383446178,260.4229019844,0.5764806173
2000,2007,real_regular_monthly,45114.1163635689,45446.9776798792,332.8613163103,0.7378207602
2000,2008,real_regular_monthly,43655.6205247196,43980.4803979549,324.8598732353,0.7441421502
2000,2009,real_regular_monthly,43312.4128780297,43539.2798782231,226.8670001934,0.5237921074
2000,2010,real_regular_monthly,43632.3245410504,43992.8626729649,360.5381319145,0.8263097043
2000,2011,real_regular_monthly,43618.6946750568,44002.9608847773,384.2662097206,0.8809667795
2000,2012,real_regular_monthly,43318.5083134314,43694.6739199165,376.1656064851,0.8683715602
2000,2013,real_regular_monthly,43388.5478234859,43781.3756751048,392.8278516189,0.9053722038
2000,2014,real_regular_monthly,43620.7430383701,44066.3160434322,445.5730050622,1.0214704611
2000,2015,real_regular_monthly,44322.3266695790,44757.9309468883,435.6042773093,0.9828100419
2000,2016,real_regular_monthly,44272.6995632768,44735.8921023948,463.1925391180,1.0462261025
2000,2017,real_regular_monthly,44805.2635261462,45278.5761439547,473.3126178085,1.0563772659
2000,2018,real_regular_monthly,45326.0396251042,45793.4277576912,467.3881325870,1.0311691391
2000,2019,real_regular_monthly,46010.7155754085,46391.8071474907,381.0915720822,0.8282669968
2000,2020,real_regular_monthly,46773.3052256080,47037.0995019267,263.7942763187,0.5639846811
2000,2021,real_regular_monthly,46704.8520673324,47014.0629547468,309.2108874144,0.6620530282
2000,2022,real_regular_monthly,46595.5398933412,46876.1987755936,280.6588822523,0.6023299288
2000,2023,real_regular_monthly,46478.7282509823,46773.6053050375,294.8770540551,0.6344344287
2000,2024,real_regular_monthly,46754.0993924304,47172.2306265628,418.1312341324,0.8943199411
2008,2008,real_regular_monthly,43655.6205247196,43655.6205247196,-0.0000000000,-0.0000000000
2008,2009,real_regular_monthly,43312.4128780297,43231.9813703851,-80.4315076446,-0.1857008241
2008,2010,real_regular_monthly,43632.3245410504,43661.1880645943,28.8635235439,0.0661516980
2008,2011,real_regular_monthly,43618.6946750568,43691.5129762255,72.8183011687,0.1669428710
2008,2012,real_regular_monthly,43318.5083134314,43421.4015118921,102.8931984607,0.2375271044
2008,2013,real_regular_monthly,43388.5478234859,43510.7625775667,122.2147540807,0.2816751429
2008,2014,real_regular_monthly,43620.7430383701,43803.5037642472,182.7607258772,0.4189766454
2008,2015,real_regular_monthly,44322.3266695790,44519.0535440197,196.7268744407,0.4438550257
2008,2016,real_regular_monthly,44272.6995632768,44497.4478842248,224.7483209481,0.5076453958
2008,2017,real_regular_monthly,44805.2635261462,45041.2598778368,235.9963516906,0.5267156872
2008,2018,real_regular_monthly,45326.0396251042,45552.0520782770,226.0124531728,0.4986371080
2008,2019,real_regular_monthly,46010.7155754085,46098.0827689554,87.3671935470,0.1898844486
2008,2020,real_regular_monthly,46773.3052256080,46736.7409326486,-36.5642929594,-0.0781734213
2008,2021,real_regular_monthly,46704.8520673324,46665.9875204254,-38.8645469070,-0.0832130821
2008,2022,real_regular_monthly,46595.5398933412,46526.8257004011,-68.7141929402,-0.1474694640
2008,2023,real_regular_monthly,46478.7282509823,46423.3811666170,-55.3470843653,-0.1190804621
2008,2024,real_regular_monthly,46754.0993924304,46782.8838135792,28.7844211487,0.0615655558
2016,2016,real_regular_monthly,44109.0501796498,44109.0501796498,0.0000000000,0.0000000000
2016,2017,real_regular_monthly,44641.2196138382,44658.5398823359,17.3202684977,0.0387988246
2016,2018,real_regular_monthly,45162.2907117799,45172.2178625843,9.9271508043,0.0219810613
2016,2019,real_regular_monthly,45735.3079464745,45734.4944342933,-0.8135121812,-0.0017787399
2016,2020,real_regular_monthly,46483.0506514631,46375.0138456322,-108.0368058309,-0.2324219351
2016,2021,real_regular_monthly,46408.7773151135,46279.1137802737,-129.6635348398,-0.2793944214
2016,2022,real_regular_monthly,46300.8748664401,46158.1897966855,-142.6850697546,-0.3081692736
2016,2023,real_regular_monthly,46181.9984574052,46055.0156050440,-126.9828523611,-0.2749617959
2016,2024,real_regular_monthly,46450.7844217718,46377.0192097615,-73.7652120103,-0.1588029415
