metric,method,scale,n_industries,year,annual_within,annual_shift,annual_interaction,annual_total,cumulative_within,cumulative_shift,cumulative_interaction,cumulative_total,cumulative_within_bootstrap_estimate_mean,cumulative_within_bootstrap_ci_lower,cumulative_within_bootstrap_ci_upper,cumulative_within_bootstrap_p_value_two_sided,cumulative_shift_bootstrap_estimate_mean,cumulative_shift_bootstrap_ci_lower,cumulative_shift_bootstrap_ci_upper,cumulative_shift_bootstrap_p_value_two_sided,cumulative_interaction_bootstrap_estimate_mean,cumulative_interaction_bootstrap_ci_lower,cumulative_interaction_bootstrap_ci_upper,cumulative_interaction_bootstrap_p_value_two_sided,cumulative_total_bootstrap_estimate_mean,cumulative_total_bootstrap_ci_lower,cumulative_total_bootstrap_ci_upper,cumulative_total_bootstrap_p_value_two_sided,valid_replications,seed,block_length,total_ci_width_exceeds_abs_cumulative_change
real_regular_monthly,laspeyres,2024_twd,16,2000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,10000,20260809,3,False
real_regular_monthly,laspeyres,2024_twd,16,2001,628.7198027235,90.3165755604,12.1873106874,731.2236889713,628.7198027235,90.3165755604,12.1873106874,731.2236889713,102.9199981745,-1387.5642272729,712.2089012821,0.8426000000,4.1384307715,-74.1534512436,139.1196878584,0.8562000000,-0.5176804103,-24.7350530039,21.0968823958,0.9054000000,106.5407485357,-1382.0957617862,731.2236889713,0.8312000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2002,500.4776094900,-54.7089307225,-6.1133511040,439.6553276636,1129.1974122135,35.6076448379,6.0739595835,1170.8790166349,212.4427031734,-1805.6328578497,1213.7230170891,0.6690000000,7.1351672194,-125.1305142639,224.4937671063,0.8562000000,-1.3510169896,-25.4047237523,23.3106208935,0.9946000000,218.2268534033,-1686.4357077579,1417.2636141446,0.7488000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2003,251.7217575182,-40.3737680861,-5.0989192807,206.2490701514,1380.9191697317,-4.7661232482,0.9750403028,1377.1280867863,328.4761282126,-1822.4552588344,1736.3200654738,0.6616000000,7.8825516672,-192.0874462313,258.5715671318,0.8524000000,-1.9938627559,-24.4055976741,21.7078293356,0.9944000000,334.3648171239,-1725.4231545400,1948.6729641263,0.7428000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2004,-258.5488663414,-87.3675367477,-1.8908239990,-347.8072270881,1122.3703033903,-92.1336599959,-0.9157836962,1029.3208596981,433.5417964065,-1809.1640264780,2203.6272048241,0.6636000000,8.7834363003,-223.0778842300,268.4253964211,0.9668000000,-2.7976213786,-29.4161839239,23.5994545523,0.8842000000,439.5276113281,-1759.9657028802,2343.1214580709,0.7354000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2005,-626.0778062298,-36.0620526040,-4.1417293917,-666.2815882255,496.2924971605,-128.1957125999,-5.0575130879,363.0392714726,537.3918729435,-2036.7866617282,2634.8794875461,0.6676000000,8.0118340642,-269.3882942376,336.3927030099,0.9952000000,-3.7407788065,-39.6130040378,26.9335169778,0.8588000000,541.6629282012,-2055.2699230068,2823.0385353031,0.6950000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2006,266.9189781496,-91.1820252275,-11.3651301785,164.3718227436,763.2114753101,-219.3777378274,-16.4226432664,527.4110942162,645.6348439265,-2103.9480849490,3047.8337235766,0.6736000000,6.5993695365,-314.5606866347,371.2314127853,0.9972000000,-4.6070654491,-40.9998715611,27.4079488823,0.8538000000,647.6271480139,-2103.2171374554,3324.9052055675,0.6792000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2007,5.9265088971,-64.1760776414,-2.2495103202,-60.4990790645,769.1379842072,-283.5538154688,-18.6721535867,466.9120151517,756.0507552336,-2163.8895149694,3409.6997379908,0.6176000000,4.9947960309,-352.6167170246,373.9825768041,0.9990000000,-5.4549636389,-47.1339249825,33.4750575734,0.8240000000,755.5905876256,-2206.4967098130,3612.0551824105,0.6436000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2008,-1427.7285480821,-35.1187741574,4.3514833903,-1458.4958388493,-658.5905638749,-318.6725896262,-14.3206701964,-991.5838236975,863.9381845753,-2316.4570603796,3798.9766234314,0.5848000000,-0.1586052262,-398.4251534596,403.8122125023,0.9776000000,-6.4059332509,-51.3043643790,34.7402596592,0.7994000000,857.3736460982,-2416.8775066155,4015.8843059078,0.6214000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2009,-423.6391543345,58.7906755924,21.6408320522,-343.2076466899,-1082.2297182094,-259.8819140338,7.3201618558,-1334.7914703874,970.8477458117,-2396.6034421397,4191.7157210633,0.5814000000,-6.6235805238,-460.6620295147,436.3404238049,0.9666000000,-7.3755441626,-53.8656319727,39.2333627491,0.7820000000,956.8486211253,-2506.8759842079,4405.5430247637,0.6108000000,10000,20260809,3,True
