period,event_marker,start_year,end_year,years,metric,method,scale,n_industries,equal_weight_period,endpoint_within,chained_within,chained_minus_endpoint_within,endpoint_annualized_within,chained_annualized_within,endpoint_shift,chained_shift,chained_minus_endpoint_shift,endpoint_annualized_shift,chained_annualized_shift,endpoint_interaction,chained_interaction,chained_minus_endpoint_interaction,endpoint_annualized_interaction,chained_annualized_interaction,endpoint_total,chained_total,chained_minus_endpoint_total,endpoint_annualized_total,chained_annualized_total
2000-2002,WTO_accession_2002,2000,2002,2,real_regular_monthly,laspeyres,2024_twd,16,True,1116.2809819101,1129.1974122135,12.9164303034,558.1404909551,564.5987061068,37.0742111988,35.6076448379,-1.4665663609,18.5371055994,17.8038224190,17.5238235259,6.0739595835,-11.4498639425,8.7619117630,3.0369797917,1170.8790166349,1170.8790166349,0.0000000000,585.4395083174,585.4395083174
2000-2002,WTO_accession_2002,2000,2002,2,real_regular_monthly,paasche,2024_twd,16,True,1133.8048054361,1135.2713717970,1.4665663609,566.9024027180,567.6356858985,54.5980347248,41.6816044214,-12.9164303034,27.2990173624,20.8408022107,-17.5238235259,-6.0739595835,11.4498639425,-8.7619117630,-3.0369797917,1170.8790166349,1170.8790166349,0.0000000000,585.4395083174,585.4395083174
2002-2009,post_global_financial_crisis_2009,2002,2009,7,real_regular_monthly,laspeyres,2024_twd,16,True,-2248.6841029409,-2211.4271304229,37.2569725179,-321.2405861344,-315.9181614890,-210.2868468685,-295.4895588718,-85.2027120032,-30.0409781241,-42.2127941245,-46.6995372129,1.2462022724,47.9457394853,-6.6713624590,0.1780288961,-2505.6704870223,-2505.6704870223,0.0000000000,-357.9529267175,-357.9529267175
2002-2009,post_global_financial_crisis_2009,2002,2009,7,real_regular_monthly,paasche,2024_twd,16,True,-2295.3836401538,-2210.1809281506,85.2027120032,-327.9119485934,-315.7401325929,-256.9863840814,-294.2433565994,-37.2569725179,-36.7123405831,-42.0347652285,46.6995372129,-1.2462022724,-47.9457394853,6.6713624590,-0.1780288961,-2505.6704870223,-2505.6704870223,0.0000000000,-357.9529267175,-357.9529267175
2009-2017,one_fixed_day_off_first_stage_2017,2009,2017,8,real_regular_monthly,laspeyres,2024_twd,17,True,1789.5537657291,1802.7307788425,13.1770131134,223.6942207161,225.3413473553,-308.2382077877,-281.7033854285,26.5348223592,-38.5297759735,-35.2129231786,40.8258506274,1.1140151548,-39.7118354726,5.1032313284,0.1392518944,1522.1414085688,1522.1414085688,0.0000000000,190.2676760711,190.2676760711
2009-2017,one_fixed_day_off_first_stage_2017,2009,2017,8,real_regular_monthly,paasche,2024_twd,17,True,1830.3796163565,1803.8447939973,-26.5348223592,228.7974520446,225.4805992497,-267.4123571603,-280.5893702737,-13.1770131134,-33.4265446450,-35.0736712842,-40.8258506274,-1.1140151548,39.7118354726,-5.1032313284,-0.1392518944,1522.1414085688,1522.1414085688,0.0000000000,190.2676760711,190.2676760711
2017-2020,covid_19_onset_2020,2017,2020,3,real_regular_monthly,laspeyres,2024_twd,17,True,1714.7735842099,1715.2614338355,0.4878496256,571.5911947366,571.7538112785,150.5253226863,137.7924749852,-12.7328477011,50.1751075621,45.9308249951,-23.4678692714,-11.2228711959,12.2449980755,-7.8226230905,-3.7409570653,1841.8310376249,1841.8310376249,0.0000000000,613.9436792083,613.9436792083
2017-2020,covid_19_onset_2020,2017,2020,3,real_regular_monthly,paasche,2024_twd,17,True,1691.3057149385,1704.0385626396,12.7328477011,563.7685716462,568.0128542132,127.0574534150,126.5696037893,-0.4878496256,42.3524844717,42.1898679298,23.4678692714,11.2228711959,-12.2449980755,7.8226230905,3.7409570653,1841.8310376249,1841.8310376249,0.0000000000,613.9436792083,613.9436792083
2020-2022,covid_19_to_reopening,2020,2022,2,real_regular_monthly,laspeyres,2024_twd,17,True,-231.2403886323,-232.1403593255,-0.8999706933,-115.6201943161,-116.0701796628,50.0741950203,48.3409019764,-1.7332930439,25.0370975102,24.1704509882,-1.0095914111,1.6236723261,2.6332637372,-0.5047957056,0.8118361630,-182.1757850230,-182.1757850230,-0.0000000000,-91.0878925115,-91.0878925115
2020-2022,covid_19_to_reopening,2020,2022,2,real_regular_monthly,paasche,2024_twd,17,True,-232.2499800434,-230.5166869995,1.7332930439,-116.1249900217,-115.2583434997,49.0646036092,49.9645743025,0.8999706933,24.5323018046,24.9822871512,1.0095914111,-1.6236723261,-2.6332637372,0.5047957056,-0.8118361630,-182.1757850230,-182.1757850230,-0.0000000000,-91.0878925115,-91.0878925115
2022-2024,post_covid_normalization,2022,2024,2,real_regular_monthly,laspeyres,2024_twd,17,True,170.5665547536,168.7748174736,-1.7917372800,85.2832773768,84.3874087368,-14.6920421953,-15.0799935899,-0.3879513946,-7.3460210976,-7.5399967949,-5.9649572267,-3.7852685521,2.1796886746,-2.9824786133,-1.8926342760,149.9095553317,149.9095553317,0.0000000000,74.9547776658,74.9547776658
2022-2024,post_covid_normalization,2022,2024,2,real_regular_monthly,paasche,2024_twd,17,True,164.6015975269,164.9895489215,0.3879513946,82.3007987635,82.4947744608,-20.6569994220,-18.8652621419,1.7917372800,-10.3284997110,-9.4326310710,5.9649572267,3.7852685521,-2.1796886746,2.9824786133,1.8926342760,149.9095553317,149.9095553317,0.0000000000,74.9547776658,74.9547776658
