within_rank,industry_code,industry,start_share,end_share,start_wage_2024_twd,end_wage_2024_twd,within_2024_twd,shift_2024_twd,interaction_2024_twd,industry_total_change_2024_twd,within_share_of_within_percent,within_share_of_total_percent,shift_share_of_total_percent,interaction_share_of_total_percent,industry_total_change_share_of_total_percent,top3_within_concentration_percent,top3_within_share_of_net_within_percent,top3_concentration_exceeds_50_percent,metric,start_year,end_year,method,scale,aggregate_total_change_2024_twd
1,C,manufacturing,0.4143379757,0.3448525907,40656.4412300243,44306.0000000000,1512.1507931105,-2825.0284728941,-253.5909963282,-1566.4686761118,59.8865368728,71.7715292657,-134.0849170879,-12.0362424815,-74.3496303037,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
2,K,finance_insurance,0.0612873037,0.0489097431,57582.0389595858,69606.0000000000,736.9161519780,-712.7251763690,-148.8273063619,-124.6363307529,29.1844943697,34.9764054015,-33.8282240681,-7.0638215598,-5.9156402265,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
3,G,wholesale_retail,0.2312319261,0.2064750781,43835.9952394031,45838.0000000000,462.9274168647,-1085.2410722738,-49.5633276083,-671.8769830175,18.3335682829,21.9720207791,-51.5090239240,-2.3524345814,-31.8894377262,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
4,I,accommodation_food,0.0271134333,0.0644058707,29541.1626028665,34332.0000000000,129.8960503059,1101.6619566131,178.6620036487,1410.2200105677,5.1443444938,6.1652833953,52.2884117908,8.4798720352,66.9335672213,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
5,J,information_communication,0.0259386038,0.0332617683,62889.6305654735,67540.0000000000,120.6240904034,460.5511089440,34.0554202786,615.2306196260,4.7771419825,5.7252064238,21.8592335794,1.6163795333,29.2008195365,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
6,M,professional_scientific,0.0275775676,0.0413775193,53433.8790930453,56844.0000000000,94.0428400049,737.3849459789,47.0595035105,878.4872894942,3.7244301502,4.4635749784,34.9986558692,2.2335950547,41.6958259022,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
7,R,arts_recreation,0.0055278163,0.0099997409,33311.6188267367,39037.0000000000,31.6488553263,148.9670478256,25.6034729352,206.2193760870,1.2534069685,1.5021562377,7.0704541381,1.2152229893,9.7878333652,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
8,H,transportation_storage,0.0466701058,0.0357572445,49302.8277538731,49696.0000000000,18.3493903331,-538.0349207128,-4.2906341869,-523.9761645665,0.7267009651,0.8709209500,-25.5368639383,-0.2036472675,-24.8695902558,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
9,S,other_services,0.0135950575,0.0141848185,35681.8078875360,35813.0000000000,1.7835643070,21.0437413935,0.0773720013,22.9046777018,0.0706354751,0.0846536856,0.9988034977,0.0036723235,1.0871295068,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
10,B,mining,0.0016185716,0.0003661205,47607.7675038400,46934.0000000000,-1.0905409300,-59.6264006116,0.8438608490,-59.8730806926,-0.0431892903,-0.0517605722,-2.8300603194,0.0400523439,-2.8417685476,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
11,E,water_waste,0.0039127839,0.0046946094,48511.8873732288,39161.0000000000,-36.5880012586,37.9278304444,-7.3107621657,-5.9709329800,-1.4490146727,-1.7365839538,1.8001765466,-0.3469922333,-0.2833996405,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
12,L,real_estate,0.0124724726,0.0163011588,47872.2916577660,44699.0000000000,-39.5787931591,183.2879838071,-12.1495380698,131.5596525782,-1.5674606439,-1.8785365352,8.6994358987,-0.5766560657,6.2442432978,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
13,D,electricity_gas,0.0050014940,0.0043936868,80013.9504206211,66020.0000000000,-69.9906594454,-48.6330596004,8.5056245976,-110.1180944481,-2.7718784573,-3.3219813034,-2.3082810764,0.4037042387,-5.2265581411,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
14,N,support_services,0.0195199327,0.0534895030,41267.0840530176,36661.0000000000,-89.9104509530,1401.8251091058,-156.4666956327,1155.4479625202,-3.5607728811,-4.2674385328,66.5351182580,-7.4264114901,54.8412682351,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
15,Q,health_social,0.0305022544,0.0618682147,57926.8415880863,54293.0000000000,-110.8403604045,1816.9310164527,-113.9789311701,1592.1117248780,-4.3896715596,-5.2608392012,86.2373767320,-5.4098058417,75.5667316890,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
16,F,construction,0.0736927009,0.0596623328,46460.1801295940,43267.0000000000,-235.3140683374,-651.8534313047,44.8014927717,-842.3660068705,-9.3192720557,-11.1687608268,-30.9390557046,2.1264226189,-39.9813939125,73.4628925486,107.4045995254,True,real_regular_monthly,2000,2024,laspeyres,2024_twd,2106.8950440133
