row_type,start_year,end_year,metric,method,scale,n_industries,within,shift,interaction,residual,total,industry_code,industry,within_2024_twd_total_wage,shift_2024_twd_total_wage,interaction_2024_twd_total_wage,industry_total_change_2024_twd_total_wage,within_2024_twd_regular_wage,shift_2024_twd_regular_wage,interaction_2024_twd_regular_wage,industry_total_change_2024_twd_regular_wage,within_2024_twd_difference,shift_2024_twd_difference,interaction_2024_twd_difference,industry_total_change_2024_twd_difference
aggregate_total_wage,2000,2024,real_total_monthly,laspeyres,2024_twd,16.0000000000,8247.2665761816,-360.8557426160,-1418.5267114151,0.0000000000,6467.8841221505,,,,,,,,,,,,,,
aggregate_total_wage,2000,2024,real_total_monthly,paasche,2024_twd,16.0000000000,6828.7398647665,-1779.3824540311,1418.5267114151,0.0000000000,6467.8841221505,,,,,,,,,,,,,,
aggregate_total_wage,2000,2024,real_total_monthly,tornqvist,log_change,16.0000000000,0.1288588911,-0.0149627792,0.0000000000,-0.0028115480,0.1110845639,,,,,,,,,,,,,,
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,C,manufacturing,5966.0811265754,-3559.2450788847,-1000.5248576771,1406.3111900136,1512.1507931105,-2825.0284728941,-253.5909963282,-1566.4686761118,4453.9303334649,-734.2166059906,-746.9338613489,2972.7798661254
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,K,finance_insurance,1667.5649359672,-991.5666438710,-336.7807815549,339.2175105413,736.9161519780,-712.7251763690,-148.8273063619,-124.6363307529,930.6487839892,-278.8414675020,-187.9534751930,463.8538412942
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,F,construction,0.4399508294,-718.2149652285,-0.0837623268,-717.8587767260,-235.3140683374,-651.8534313047,44.8014927717,-842.3660068705,235.7540191668,-66.3615339237,-44.8852550986,124.5072301445
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,H,transportation_storage,219.8451299293,-659.9376088854,-51.4063417461,-491.4988207022,18.3493903331,-538.0349207128,-4.2906341869,-523.9761645665,201.4957395961,-121.9026881726,-47.1157075592,32.4773438644
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,Q,health_social,-42.2949793577,2204.1681544330,-43.4926097629,2118.3805653124,-110.8403604045,1816.9310164527,-113.9789311701,1592.1117248780,68.5453810468,387.2371379803,70.4863214072,526.2688404344
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,L,real_estate,-5.7751217158,220.2720887429,-1.7727943564,212.7241726707,-39.5787931591,183.2879838071,-12.1495380698,131.5596525782,33.8036714433,36.9841049358,10.3767437134,81.1645200925
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,M,professional_scientific,123.5634792474,883.1475088188,61.8317777846,1068.5427658508,94.0428400049,737.3849459789,47.0595035105,878.4872894942,29.5206392426,145.7625628399,14.7722742741,190.0554763566
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,B,mining,11.6478835477,-70.9846736348,-9.0131352513,-68.3499253384,-1.0905409300,-59.6264006116,0.8438608490,-59.8730806926,12.7384244777,-11.3582730232,-9.8569961002,-8.4768446457
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,R,arts_recreation,35.4709395680,162.3853817795,28.6954846187,226.5518059661,31.6488553263,148.9670478256,25.6034729352,206.2193760870,3.8220842417,13.4183339539,3.0920116835,20.3324298791
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,E,water_waste,-40.3625362950,45.6230787731,-8.0649637342,-2.8044212561,-36.5880012586,37.9278304444,-7.3107621657,-5.9709329800,-3.7745350363,7.6952483287,-0.7542015685,3.1665117239
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,I,accommodation_food,115.8281215790,1278.9820728532,159.3126521665,1554.1228465987,129.8960503059,1101.6619566131,178.6620036487,1410.2200105677,-14.0679287268,177.3201162402,-19.3493514822,143.9028360311
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,S,other_services,-14.1134527767,24.3206445825,-0.6122493497,9.5949424561,1.7835643070,21.0437413935,0.0773720013,22.9046777018,-15.8970170837,3.2769031890,-0.6896213510,-13.3097352457
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,N,support_services,-112.7854506497,1577.0700122437,-196.2749223428,1268.0096392512,-89.9104509530,1401.8251091058,-156.4666956327,1155.4479625202,-22.8749996967,175.2449031379,-39.8082267101,112.5616767310
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,D,electricity_gas,-120.4815109499,-73.4347281471,14.6415323304,-179.2747067666,-69.9906594454,-48.6330596004,8.5056245976,-110.1180944481,-50.4908515045,-24.8016685467,6.1359077328,-69.1566123184
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,G,wholesale_retail,410.7696308615,-1288.2859659185,-43.9790538306,-921.4953888875,462.9274168647,-1085.2410722738,-49.5633276083,-671.8769830175,-52.1577860032,-203.0448936447,5.5842737778,-249.6184058701
industry_total_minus_regular,2000,2024,,laspeyres,2024_twd,,,,,,,J,information_communication,31.8684298215,604.8449797271,8.9973136175,645.7107231661,120.6240904034,460.5511089440,34.0554202786,615.2306196260,-88.7556605819,144.2938707831,-25.0581066610,30.4801035402
