start_year,end_year,metric,method,scale,n_industries,within,shift,interaction,residual,total
2000,2022,real_total_monthly,laspeyres,2024_twd,16,7885.6678003858,-332.3203738833,-1309.4430665906,0.0000000000,6243.9043599119
2000,2022,real_total_monthly,paasche,2024_twd,16,6576.2247337953,-1641.7634404739,1309.4430665906,0.0000000000,6243.9043599119
2000,2022,real_total_monthly,tornqvist,log_change,16,0.1238398286,-0.0142343520,0.0000000000,-0.0021683987,0.1074370779
2000,2023,real_total_monthly,laspeyres,2024_twd,16,6573.5117377651,-344.0621660770,-1098.1173267394,0.0000000000,5131.3322449487
2000,2023,real_total_monthly,paasche,2024_twd,16,5475.3944110258,-1442.1794928164,1098.1173267394,0.0000000000,5131.3322449487
2000,2023,real_total_monthly,tornqvist,log_change,16,0.1042491324,-0.0122472163,0.0000000000,-0.0028827905,0.0891191256
2000,2024,real_total_monthly,laspeyres,2024_twd,16,8247.2665761816,-360.8557426160,-1418.5267114151,0.0000000000,6467.8841221505
2000,2024,real_total_monthly,paasche,2024_twd,16,6828.7398647665,-1779.3824540311,1418.5267114151,0.0000000000,6467.8841221505
2000,2024,real_total_monthly,tornqvist,log_change,16,0.1288588911,-0.0149627792,0.0000000000,-0.0028115480,0.1110845639
2001,2022,real_total_monthly,laspeyres,2024_twd,16,7844.2486243265,-463.9890567888,-1297.8595202375,0.0000000000,6082.4000473002
2001,2022,real_total_monthly,paasche,2024_twd,16,6546.3891040890,-1761.8485770263,1297.8595202375,0.0000000000,6082.4000473002
2001,2022,real_total_monthly,tornqvist,log_change,16,0.1230632051,-0.0164702848,0.0000000000,-0.0020852804,0.1045076399
2001,2023,real_total_monthly,laspeyres,2024_twd,16,6538.8973157307,-471.1806433902,-1097.8887400035,0.0000000000,4969.8279323370
2001,2023,real_total_monthly,paasche,2024_twd,16,5441.0085757272,-1569.0693833937,1097.8887400035,0.0000000000,4969.8279323370
2001,2023,real_total_monthly,tornqvist,log_change,16,0.1034972894,-0.0145129195,0.0000000000,-0.0027946824,0.0861896876
2001,2024,real_total_monthly,laspeyres,2024_twd,16,8224.5088561992,-483.7802245780,-1434.3488220824,0.0000000000,6306.3798095387
2001,2024,real_total_monthly,paasche,2024_twd,16,6790.1600341167,-1918.1290466604,1434.3488220824,0.0000000000,6306.3798095387
2001,2024,real_total_monthly,tornqvist,log_change,16,0.1281409764,-0.0172366652,0.0000000000,-0.0027491853,0.1081551259
2002,2022,real_total_monthly,laspeyres,2024_twd,16,8126.5255085937,-541.7996756662,-1058.3862424588,0.0000000000,6526.3395904687
2002,2022,real_total_monthly,paasche,2024_twd,16,7068.1392661350,-1600.1859181250,1058.3862424588,0.0000000000,6526.3395904687
2002,2022,real_total_monthly,tornqvist,log_change,16,0.1306028369,-0.0159977793,0.0000000000,-0.0020243253,0.1125807323
2002,2023,real_total_monthly,laspeyres,2024_twd,16,6840.2072074018,-550.8279895384,-875.6117423579,0.0000000000,5413.7674755055
2002,2023,real_total_monthly,paasche,2024_twd,16,5964.5954650439,-1426.4397318962,875.6117423579,0.0000000000,5413.7674755055
2002,2023,real_total_monthly,tornqvist,log_change,16,0.1111870634,-0.0142382418,0.0000000000,-0.0026860417,0.0942627800
2002,2024,real_total_monthly,laspeyres,2024_twd,16,8511.7854502721,-563.6342468809,-1197.8318506840,0.0000000000,6750.3193527073
2002,2024,real_total_monthly,paasche,2024_twd,16,7313.9535995881,-1761.4660975649,1197.8318506840,0.0000000000,6750.3193527073
2002,2024,real_total_monthly,tornqvist,log_change,16,0.1357572702,-0.0168886481,0.0000000000,-0.0026404038,0.1162282183
