row_type,year,industry_code,industry,employees,employment_share_common,normal_hours,overtime_hours,normal_pretrend_annual_change_2000_2016,normal_reform_window_annual_change_2016_2019,overtime_pretrend_annual_change_2000_2016,overtime_reform_window_annual_change_2016_2019,normal_change_vs_pretrend,overtime_change_vs_pretrend,part_time_series_requested_period,part_time_series_consistent_coverage,part_time_series_used,part_time_series_reason
annual_industry_path,2000.0000000000,B,mining,9604.0000000000,0.0016185716,179.5000000000,5.9000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,C,manufacturing,2458527.0000000000,0.4143379757,181.9000000000,16.8000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,D,electricity_gas,29677.0000000000,0.0050014940,174.5000000000,7.8000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,E,water_waste,23217.0000000000,0.0039127839,182.4000000000,5.6000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,F,construction,437265.0000000000,0.0736927009,179.5000000000,8.0000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,G,wholesale_retail,1372044.0000000000,0.2312319261,178.4000000000,4.5000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,H,transportation_storage,276923.0000000000,0.0466701058,182.9000000000,6.7000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,I,accommodation_food,160881.0000000000,0.0271134333,186.6000000000,1.6000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,J,information_communication,153910.0000000000,0.0259386038,173.1000000000,3.2000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,K,finance_insurance,363656.0000000000,0.0612873037,169.5000000000,4.4000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,L,real_estate,74007.0000000000,0.0124724726,174.7000000000,3.6000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,M,professional_scientific,163635.0000000000,0.0275775676,176.2000000000,6.6000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,N,support_services,115824.0000000000,0.0195199327,187.4000000000,4.7000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,Q,health_social,180989.0000000000,0.0305022544,178.7000000000,3.8000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,R,arts_recreation,32800.0000000000,0.0055278163,195.9000000000,3.2000000000,,,,,,,,,,
annual_industry_path,2000.0000000000,S,other_services,80668.0000000000,0.0135950575,205.9000000000,2.2000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,B,mining,8429.0000000000,0.0014745096,178.9000000000,5.5000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,C,manufacturing,2348451.0000000000,0.4108213853,170.4000000000,14.0000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,D,electricity_gas,29147.0000000000,0.0050987697,165.4000000000,7.6000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,E,water_waste,22153.0000000000,0.0038752889,180.0000000000,3.5000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,F,construction,402459.0000000000,0.0704033271,173.5000000000,7.3000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,G,wholesale_retail,1350327.0000000000,0.2362166418,173.5000000000,4.7000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,H,transportation_storage,272066.0000000000,0.0475932992,175.0000000000,6.6000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,I,accommodation_food,148555.0000000000,0.0259871596,174.3000000000,1.3000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,J,information_communication,156317.0000000000,0.0273449889,163.6000000000,2.6000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,K,finance_insurance,359652.0000000000,0.0629149737,161.9000000000,4.3000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,L,real_estate,61679.0000000000,0.0107896874,169.4000000000,3.0000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,M,professional_scientific,155053.0000000000,0.0271238737,169.6000000000,6.2000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,N,support_services,114209.0000000000,0.0199789136,181.3000000000,5.7000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,Q,health_social,182598.0000000000,0.0319424009,174.4000000000,3.6000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,R,arts_recreation,29016.0000000000,0.0050758535,188.2000000000,3.3000000000,,,,,,,,,,
annual_industry_path,2001.0000000000,S,other_services,76366.0000000000,0.0133589272,198.5000000000,1.4000000000,,,,,,,,,,
annual_industry_path,2002.0000000000,B,mining,7833.0000000000,0.0013863211,183.4000000000,4.9000000000,,,,,,,,,,
annual_industry_path,2002.0000000000,C,manufacturing,2318801.0000000000,0.4103922937,171.7000000000,15.8000000000,,,,,,,,,,
annual_industry_path,2002.0000000000,D,electricity_gas,28242.0000000000,0.0049984018,167.2000000000,5.2000000000,,,,,,,,,,
annual_industry_path,2002.0000000000,E,water_waste,21345.0000000000,0.0037777384,179.4000000000,2.9000000000,,,,,,,,,,
