row_type,composition,year,common_sample_real_2024_twd,full_panel_real_2024_twd,official_nominal_deflated_2024_twd,official_published_real_original_base,official_published_real_rebased_2024_twd,official_minus_common_2024_twd,start_year,end_year,source,effect_percentage_points,share_of_absolute_observed_gap_percent,observed_official_minus_common_growth_gap_percentage_points,official_published_log_growth_percent,common_sample_log_growth_percent,residual_exceeds_30_percent
annual_sequence,regular,2000.0000000000,44647.2043484172,44647.2043484172,44647.9922691161,41414.0000000000,44648.4925147963,1.2881663792,,,,,,,,,
annual_sequence,regular,2001.0000000000,45378.4280373885,45378.4280373885,45378.4635416667,42090.0000000000,45377.2890797261,-1.1389576624,,,,,,,,,
annual_sequence,regular,2002.0000000000,45818.0833650521,45818.0833650521,45818.4963561680,42498.0000000000,45817.1544621098,-0.9289029423,,,,,,,,,
annual_sequence,regular,2003.0000000000,46024.3324352034,46024.3324352034,46024.4524352226,42689.0000000000,46023.0718347453,-1.2606004581,,,,,,,,,
annual_sequence,regular,2004.0000000000,45676.5252081153,45676.5252081153,45676.2040882022,42366.0000000000,45674.8450736915,-1.6801344237,,,,,,,,,
annual_sequence,regular,2005.0000000000,45010.2436198898,45010.2436198898,45009.3078080293,41749.0000000000,45009.6564929790,-0.5871269108,,,,,,,,,
annual_sequence,regular,2006.0000000000,45174.6154426334,45174.6154426334,45174.6855238337,41901.0000000000,45173.5279099455,-1.0875326879,,,,,,,,,
annual_sequence,regular,2007.0000000000,45114.1163635689,45114.1163635689,45114.0898119077,41846.0000000000,45114.2323314379,0.1159678690,,,,,,,,,
annual_sequence,regular,2008.0000000000,43655.6205247196,43655.6205247196,43654.8612976221,40490.0000000000,43652.3267958686,-3.2937288510,,,,,,,,,
annual_sequence,regular,2009.0000000000,43312.4128780297,43119.0782052694,43120.0881695280,39996.0000000000,43119.7446907276,-192.6681873021,,,,,,,,,
annual_sequence,regular,2010.0000000000,43632.3245410504,43439.1652789354,43439.0317002882,40291.0000000000,43437.7846118139,-194.5399292365,,,,,,,,,
annual_sequence,regular,2011.0000000000,43618.6946750568,43424.8565252596,43424.7847164485,40277.0000000000,43422.6911918301,-196.0034832266,,,,,,,,,
annual_sequence,regular,2012.0000000000,43318.5083134314,43131.9113628424,43131.5178947557,40008.0000000000,43132.6819078566,-185.8264055749,,,,,,,,,
annual_sequence,regular,2013.0000000000,43388.5478234859,43209.3863242021,43208.9355730839,40078.0000000000,43208.1490077753,-180.3988157106,,,,,,,,,
annual_sequence,regular,2014.0000000000,43620.7430383701,43453.4538890696,43452.7638932827,40304.0000000000,43451.7999303702,-168.9431079999,,,,,,,,,
annual_sequence,regular,2015.0000000000,44322.3266695790,44153.4245998849,44152.8329454904,40953.0000000000,44151.4877567599,-170.8389128191,,,,,,,,,
annual_sequence,regular,2016.0000000000,44272.6995632768,44109.0501796498,44108.7265013736,40911.0000000000,44106.2074968086,-166.4920664681,,,,,,,,,
annual_sequence,regular,2017.0000000000,44805.2635261462,44641.2196138382,44641.0522623398,41407.0000000000,44640.9458048045,-164.3177213418,,,,,,,,,
annual_sequence,regular,2018.0000000000,45326.0396251042,45162.2907117799,45162.3772356060,41887.0000000000,45158.4344899617,-167.6051351425,,,,,,,,,
annual_sequence,regular,2019.0000000000,46010.7155754085,45735.3079464745,45734.8908970686,42421.0000000000,45734.1406521991,-276.5749232093,,,,,,,,,
annual_sequence,regular,2020.0000000000,46773.3052256080,46483.0506514631,46482.8362777339,43113.0000000000,46480.1868399675,-293.1183856405,,,,,,,,,
annual_sequence,regular,2021.0000000000,46704.8520673324,46408.7773151135,46408.2493333333,43045.0000000000,46406.8759429036,-297.9761244289,,,,,,,,,
annual_sequence,regular,2022.0000000000,46595.5398933412,46300.8748664401,46299.9689159435,42943.0000000000,46296.9095973077,-298.6302960336,,,,,,,,,
annual_sequence,regular,2023.0000000000,46478.7282509823,46181.9984574052,46182.5776724717,42837.0000000000,46182.6308460021,-296.0974049802,,,,,,,,,
annual_sequence,regular,2024.0000000000,46754.0993924304,46450.7844217718,46450.0000000000,43085.0000000000,46450.0000000000,-304.0993924304,,,,,,,,,
annual_sequence,total,2000.0000000000,55050.7876195068,55050.7876195068,55051.2929496374,51063.0000000000,55050.9009066327,0.1132871259,,,,,,,,,
annual_sequence,total,2001.0000000000,55212.2919321185,55212.2919321185,55212.2187500000,51211.0000000000,55210.4593605853,-1.8325715332,,,,,,,,,
annual_sequence,total,2002.0000000000,54768.3523889500,54768.3523889500,54768.3074069167,50799.0000000000,54766.2831239065,-2.0692650436,,,,,,,,,
annual_sequence,total,2003.0000000000,55629.7716986959,55629.7716986959,55630.2914907753,51598.0000000000,55627.6831557182,-2.0885429777,,,,,,,,,
annual_sequence,total,2004.0000000000,55551.4849055970,55551.4849055970,55551.7180106229,51526.0000000000,55550.0601240655,-1.4247815315,,,,,,,,,
annual_sequence,total,2005.0000000000,54906.8759385110,54906.8759385110,54906.2162571409,50929.0000000000,54906.4358199459,-0.4401185651,,,,,,,,,
annual_sequence,total,2006.0000000000,54996.1860983871,54996.1860983871,54996.1489937740,51011.0000000000,54994.8398282170,-1.3462701701,,,,,,,,,
annual_sequence,total,2007.0000000000,55167.0906738426,55167.0906738426,55167.1854902977,51171.0000000000,55167.3354541117,0.2447802690,,,,,,,,,
annual_sequence,total,2008.0000000000,53295.7865535144,53295.7865535144,53295.5498015358,49431.0000000000,53291.4455225068,-4.3410310077,,,,,,,,,
annual_sequence,total,2009.0000000000,51472.5216747622,51200.5851593159,51200.8682228563,47491.0000000000,51199.9360585335,-272.5856162287,,,,,,,,,
annual_sequence,total,2010.0000000000,53812.4705867754,53525.5779208637,53524.9337175792,49646.0000000000,53523.2365198028,-289.2340669726,,,,,,,,,
annual_sequence,total,2011.0000000000,54624.8092081953,54330.6018209041,54330.3312715279,50393.0000000000,54328.5754731987,-296.2337349966,,,,,,,,,
annual_sequence,total,2012.0000000000,53706.5290796951,53428.7737687047,53428.8126630157,49559.0000000000,53429.4420232225,-277.0870564726,,,,,,,,,
annual_sequence,total,2013.0000000000,53286.2551254476,53022.6625396484,53022.6113309560,49180.0000000000,53020.8430093844,-265.4121160632,,,,,,,,,
