year,regular_monthly,cpi_2024_100,migrant_share,minimum_monthly_wage_twd,timing_basis,native_regular_monthly_lower_twd,native_regular_monthly_upper_twd,native_real_regular_monthly_lower_2024_twd,native_real_regular_monthly_upper_2024_twd,observed_real_regular_monthly_2024_twd,lower_endpoint_assumption,upper_endpoint_assumption,identified_status,row_type,start_year,end_year,manufacturing_base_employment_share,observed_manufacturing_within_contribution_2024_twd,composition_removed_within_contribution_lower_2024_twd,composition_removed_within_contribution_upper_2024_twd,composition_adjustment_lower_2024_twd,composition_adjustment_upper_2024_twd,assumptions
2000.0000000000,30893.0000000000,75.9854996290,0.0740272529,15840.0000000000,official monthly minimum wage in force at year end,31357.2583386819,32096.4179639267,41267.4240372030,42240.1880893627,40656.4412300243,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2001.0000000000,31308.0000000000,75.9831808063,0.0668759961,15840.0000000000,official monthly minimum wage in force at year end,31732.4275403101,32416.5749631742,41762.4363754797,42662.8296146202,41203.8554687500,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2002.0000000000,31539.0000000000,75.8340032154,0.0675767347,15840.0000000000,official monthly minimum wage in force at year end,31971.1005155234,32676.7742250142,42159.3205685026,43089.8710861721,41589.5227242613,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2003.0000000000,31944.0000000000,75.6206715310,0.0682921628,15840.0000000000,official monthly minimum wage in force at year end,32386.3467326450,33124.3882565331,42827.3725648559,43803.3511021335,42242.4177850463,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2004.0000000000,32471.0000000000,76.8365075439,0.0681307100,15840.0000000000,official monthly minimum wage in force at year end,32919.5666903724,33686.9235746489,42843.6530272576,43842.3409020781,42259.8593272171,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2005.0000000000,33024.0000000000,78.6104068761,0.0673240652,15840.0000000000,official monthly minimum wage in force at year end,33474.7309945642,34264.4059048441,42583.0781506223,43587.6206045555,42009.7049644553,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2006.0000000000,33622.0000000000,79.0819008162,0.0676787899,15840.0000000000,official monthly minimum wage in force at year end,34083.3438944128,34912.8257688753,43098.7919392799,44147.6815915281,42515.4171219689,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2007.0000000000,34076.0000000000,80.5025661637,0.0721332077,17280.0000000000,official monthly minimum wage in force at year end,34574.7982205211,35381.7363053679,42948.6907910452,43951.0663963214,42329.0854240478,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2008.0000000000,34150.0000000000,83.3446697997,0.0725696418,17280.0000000000,official monthly minimum wage in force at year end,34652.9504402897,35470.0450542734,41577.8843729173,42558.2645411365,40974.4259376043,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2009.0000000000,32536.0000000000,82.6157865446,0.0691933068,17280.0000000000,official monthly minimum wage in force at year end,32992.5730457242,33670.0841187830,39934.9499963851,40755.0245867210,39382.3037470178,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2010.0000000000,33389.0000000000,83.4134615385,0.0729909579,17280.0000000000,official monthly minimum wage in force at year end,33883.6398659062,34657.3925255132,40621.3088882334,41548.9201458602,40028.3112391931,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2011.0000000000,33907.0000000000,84.5991528568,0.0829384909,17880.0000000000,official monthly minimum wage in force at year end,34478.9260182132,35356.4722328769,40755.6398071498,41792.9388639728,40079.5975550703,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2012.0000000000,34461.0000000000,86.2362416522,0.0877499603,18780.0000000000,official monthly minimum wage in force at year end,35076.5939454488,35969.3662023649,40675.0030768976,41710.2664879774,39961.1570956090,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2013.0000000000,34850.0000000000,86.9195213950,0.1001344466,19047.0000000000,official monthly minimum wage in force at year end,35562.2002482568,36608.5123171089,40913.9393285948,42117.7104171367,40094.5603941202,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2014.0000000000,35374.0000000000,87.9575810042,0.1165413686,19273.0000000000,official monthly minimum wage in force at year end,36218.1833308243,37497.9620163396,41176.8751679208,42631.8704860097,40217.1132904496,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2015.0000000000,35903.0000000000,87.6885975761,0.1172437063,20008.0000000000,official monthly minimum wage in force at year end,36765.0952051778,38014.1021532253,41926.8824242391,43351.2488556491,40943.7498060786,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2016.0000000000,36464.0000000000,88.9098441751,0.1245579978,20008.0000000000,official monthly minimum wage in force at year end,37395.5838092084,38805.3617426955,42060.1162403949,43645.7426089558,41012.3314671210,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2017.0000000000,37282.0000000000,89.4624969082,0.1366631861,21009.0000000000,official monthly minimum wage in force at year end,38329.6504300033,39857.9587587078,42844.3780965770,44552.7010045236,41673.3282531125,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2018.0000000000,38208.0000000000,90.6706035122,0.1430722802,22000.0000000000,official monthly minimum wage in force at year end,39333.5069042470,40914.0806459971,43380.6607440699,45123.8649144675,42139.3467341824,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2019.0000000000,38994.0000000000,91.1776527331,0.1455848258,23100.0000000000,official monthly minimum wage in force at year end,40163.4374077953,41702.1977138719,44049.6505490829,45737.3012616766,42767.0584086401,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2020.0000000000,39498.0000000000,90.9604563443,0.1431998114,23800.0000000000,official monthly minimum wage in force at year end,40662.5746031919,42121.6579660610,44703.5736598308,46307.6590190184,43423.2649960486,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2021.0000000000,40700.0000000000,92.7529062577,0.1349621779,24000.0000000000,official monthly minimum wage in force at year end,41829.0684351287,43305.5142485092,45097.3129821934,46689.1184284594,43880.0266666667,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2022.0000000000,42024.0000000000,95.4860252288,0.1486617380,25250.0000000000,official monthly minimum wage in force at year end,43311.7603132005,44953.0965829079,45359.2661433155,47078.1944009058,44010.6286750421,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2023.0000000000,42995.0000000000,97.8659102152,0.1484334460,26400.0000000000,official monthly minimum wage in force at year end,44310.4299625234,45887.6136478661,45276.6748555181,46888.2510232305,43932.5602811673,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
2024.0000000000,44306.0000000000,100.0000000000,0.1603324523,27470.0000000000,official monthly minimum wage in force at year end,45773.8052909923,47520.7927772099,45773.8052909923,47520.7927772099,44306.0000000000,migrant regular wage = 0.8 × native regular wage,migrant regular wage = year-end monthly minimum wage,hypothetical bounds; native wage is not identified,annual_hypothetical_bounds,,,,,,,,,
,,,,,,,,,,,,,hypothetical bounds; no point estimate,endpoint_contribution_bounds,2000.0000000000,2024.0000000000,0.4143379757,1512.1507931105,1867.1648866258,2187.9550570670,355.0140935153,675.8042639564,interval spans migrant wage = minimum wage and migrant wage = 0.8 × native wage
