scope,year,nominal_output_million_twd,real_output_chain_million_twd,employee_compensation_million_twd,employee_hours,cpi_2024_100,output_price_raw,output_price_2024_100,employee_compensation_per_hour_twd,real_consumer_compensation_per_hour_2024_twd,real_output_per_employee_hour_twd,employee_compensation_share,consumer_output_price_ratio,real_consumer_compensation_index_2000_100,labor_productivity_index_2000_100,real_consumer_compensation_log_change,labor_productivity_log_change,employee_compensation_share_log_change,price_wedge_log_change,identity_residual,labor_share_definition,real_output_aggregation_note,row_type,survey_real_regular_hourly_index_2000_100,index_base_note
industry_services_common_16,2000,8556701.0000000000,8459986.0000000000,3848578.0000000000,13534332730.7999992371,75.9854996290,1.0114320520,94.4634729117,284.3566858115,374.2249339675,625.0759581777,0.4497735751,0.8043902822,100.0000000000,100.0000000000,,,,,,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,100.0000000000,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2001,8306625.0000000000,8285846.0000000000,3722861.0000000000,12371159518.7999992371,75.9831808063,1.0025077705,93.6299827871,300.9306439176,396.0490212757,669.7711711993,0.4481797361,0.8115261644,105.8318100499,107.1503650775,0.0566809503,0.0690629431,-0.0035499412,0.0088320515,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,106.5852164026,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2002,8726820.0000000000,8698707.0000000000,3698018.0000000000,12299312316.0000000000,75.8340032154,1.0032318596,93.6976096493,300.6686800846,396.4826691668,707.2514931330,0.4237532114,0.8093483228,105.9476889910,113.1464878596,0.0010943359,0.0544502028,-0.0560431114,-0.0026872444,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,107.1571503494,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2003,9025458.0000000000,9064426.0000000000,3821059.0000000000,12585932908.7999992371,75.6206715310,0.9957009964,92.9942588968,303.5975980238,401.4743480546,720.2029492516,0.4233645539,0.8131756995,107.2815602633,115.2184690243,0.0125113105,0.0181467249,-0.0009175996,0.0047178147,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,107.8652555069,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2004,9641658.0000000000,9706416.0000000000,4040014.0000000000,13268049879.6000003815,76.8365075439,0.9933283305,92.7726619397,304.4919213193,396.2854781568,731.5631225448,0.4190165218,0.8282235945,105.8949958132,117.0358758762,-0.0130087851,0.0156504624,-0.0103232867,0.0183359608,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,106.1673637244,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2005,9998555.0000000000,10240788.0000000000,4256481.0000000000,13540760437.2000007629,78.6104068761,0.9763462538,91.1866078564,314.3457872799,399.8780820145,756.2934184897,0.4257096150,0.8620828072,106.8550077022,120.9922423980,0.0090248497,0.0332459119,0.0158471082,0.0400681704,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,105.3024330669,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2006,10452355.0000000000,10857356.0000000000,4496257.0000000000,13832661752.4000015259,79.0819008162,0.9626980086,89.9119195180,325.0464068653,411.0250303930,784.9072141243,0.4301668858,0.8795485764,109.8336837247,125.5698933635,0.0274944082,0.0371360917,0.0104157810,0.0200574645,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,106.0858487346,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2007,11040739.0000000000,11708700.0000000000,4669693.0000000000,14128024868.4000015259,80.5025661637,0.9429517367,88.0677012987,330.5269521747,410.5793988012,828.7570349758,0.4229511267,0.9140986420,109.7146025115,132.5850121307,-0.0010847839,0.0543615179,-0.0169166073,0.0385296946,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,106.2261738479,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2008,10767522.0000000000,11731025.0000000000,4754811.0000000000,14297176905.5999984741,83.3446697997,0.9178671088,85.7249032160,332.5699214184,399.0296226715,820.5133836880,0.4415882317,0.9722340495,106.6282832736,131.2661882054,-0.0285336735,-0.0099968081,0.0431212127,0.0616580781,0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,102.6754064252,CPI and output-price indexes both rebased to 2024=100 before ratios
industry_services_common_16,2009,10562451.0000000000,11514940.0000000000,4482982.0000000000,13598527544.3999996185,82.6157865446,0.9172823306,85.6702874079,329.6667220302,399.0359903577,846.7784443869,0.4244263003,0.9643458548,106.6299848402,135.4680872475,0.0000159578,0.0315088615,-0.0396394701,-0.0081465663,-0.0000000000,employee compensation / nominal value added; excludes self-employed mixed income,sum of common-industry chain-volume levels; chain components are not strictly additive,annual_path,102.2197883768,CPI and output-price indexes both rebased to 2024=100 before ratios
